Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Akershus,7122.0,2.41459307637913,-105.0,-1.4528850145288499,2012,juli
Oslo,12076.0,3.49775437854633,189.0,1.58997223857996,2012,juli
Hedmark,2738.0,2.86792680661136,-21.0,-0.7611453425154,2012,juli
Oppland,2190.0,2.27875592537671,-35.0,-1.57303370786516,2012,juli
Buskerud,3652.0,2.60254766469485,-81.0,-2.1698365925529,2012,juli
Vestfold,3900.0,3.22240469570795,-119.0,-2.9609355561084802,2012,juli
Telemark,3096.0,3.58810339286815,38.0,1.24264224983649,2012,juli
Aust-Agder,1832.0,3.25855385059946,57.0,3.2112676056338003,2012,juli
Vest-Agder,2600.0,2.9011938836852,109.0,4.37575270975511,2012,juli
Rogaland,4603.0,1.91349482728056,-202.0,-4.20395421436004,2012,juli
Hordaland,5998.0,2.2971990070202097,-577.0,-8.775665399239541,2012,juli
Sogn og Fjordane,1111.0,1.9713717081153301,-64.0,-5.44680851063829,2012,juli
Møre og Romsdal,2946.0,2.19005017534302,-100.0,-3.2829940906106305,2012,juli
Sør-Trøndelag,3921.0,2.48901783565686,-467.0,-10.64266180492251,2012,juli
Nord-Trøndelag,1745.0,2.6345088899502,9.0,0.5184331797235,2012,juli
Nordland,3609.0,2.99012899510936,3.0,0.08319467554076,2012,juli
Troms,2088.0,2.50471436305779,66.0,3.2640949554896097,2012,juli
Finnmark,1319.0,3.4462225977620697,46.0,3.6135113904163303,2012,juli
Ikke i et fylkesdistrikt,32.0,,4.0,,2012,juli
Riket,71738.0,2.73460507343413,-867.0,-1.19413263549342,2012,juli
