Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Østfold,4599.0,3.29792390419576,362.0,8.54378097710644,2012,september
Akershus,6294.0,2.13387374652208,-283.0,-4.30287365060057,2012,september
Oslo,11056.0,3.20231636379664,292.0,2.71274619100706,2012,september
Hedmark,2375.0,2.48770130230168,-60.0,-2.46406570841889,2012,september
Oppland,1938.0,2.01654291478542,13.0,0.67532467532467,2012,september
Buskerud,3155.0,2.2483674375991898,-297.0,-8.603707995365,2012,september
Vestfold,3587.0,2.96378606243703,-135.0,-3.6270822138635097,2012,september
Telemark,2757.0,3.19521997872658,-93.0,-3.26315789473684,2012,september
Aust-Agder,1594.0,2.83522643987748,-27.0,-1.66563849475632,2012,september
Vest-Agder,2506.0,2.79630456635196,240.0,10.59135039717564,2012,september
Rogaland,4137.0,1.71977582021718,-475.0,-10.29921942758022,2012,september
Hordaland,5070.0,1.94178042107244,-697.0,-12.08600658921449,2012,september
Sogn og Fjordane,909.0,1.6129404884579999,14.0,1.56424581005586,2012,september
Møre og Romsdal,2415.0,1.79530589730258,-293.0,-10.81979320531757,2012,september
Sør-Trøndelag,3371.0,2.13988245957645,-265.0,-7.28822882288228,2012,september
Nord-Trøndelag,1372.0,2.07137317880325,-150.0,-9.85545335085413,2012,september
Nordland,3060.0,2.53527146717502,-275.0,-8.24587706146926,2012,september
Troms,1694.0,2.0320814803735097,10.0,0.5938242280285,2012,september
Finnmark,1139.0,2.97592686796891,-80.0,-6.56275635767022,2012,september
Ikke i et fylkesdistrikt,32.0,,5.0,18.51851851851851,2012,september
Riket,63060.0,2.40380545778745,-2194.0,-3.3622459925828303,2012,september
