Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Desember 2014,,,,,2014,desember
I alt,71734.0,2.7,1388.0,2.0,2014,desember
Østfold,4682.0,3.3,-382.0,-8.0,2014,desember
Akershus,7578.0,2.5,548.0,8.0,2014,desember
Oslo,11926.0,3.3,-201.0,-2.0,2014,desember
Hedmark,2563.0,2.7,-112.0,-4.0,2014,desember
Oppland,1983.0,2.1,-196.0,-9.0,2014,desember
Buskerud,3980.0,2.8,279.0,8.0,2014,desember
Vestfold,3531.0,2.9,-151.0,-4.0,2014,desember
Telemark,2911.0,3.4,368.0,14.0,2014,desember
Aust-Agder,1911.0,3.3,-146.0,-7.0,2014,desember
Vest-Agder,2684.0,2.9,220.0,9.0,2014,desember
Rogaland,6030.0,2.4,980.0,19.0,2014,desember
Hordaland,6084.0,2.3,310.0,5.0,2014,desember
Sogn og Fjordane,930.0,1.6,-192.0,-17.0,2014,desember
Møre og Romsdal,2905.0,2.1,61.0,2.0,2014,desember
Sør-Trøndelag,3910.0,2.4,348.0,10.0,2014,desember
Nord-Trøndelag,1702.0,2.5,25.0,1.0,2014,desember
Nordland,3212.0,2.6,-315.0,-9.0,2014,desember
Troms,1761.0,2.1,-56.0,-3.0,2014,desember
Finnmark,1309.0,3.3,-82.0,-6.0,2014,desember
Øvrige områder,9.0,,2.0,29.0,2014,desember
Ukjent,133.0,,80.0,151.0,2014,desember
