Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Juli 2014,,,,,2014,juli
I alt,79647.0,3.0,5027.0,7.0,2014,juli
Østfold,5466.0,3.8,114.0,2.0,2014,juli
Akershus,8161.0,2.7,698.0,9.0,2014,juli
Oslo,13657.0,3.8,694.0,5.0,2014,juli
Hedmark,3071.0,3.2,138.0,5.0,2014,juli
Oppland,2243.0,2.3,-56.0,-2.0,2014,juli
Buskerud,4536.0,3.2,547.0,14.0,2014,juli
Vestfold,4199.0,3.4,311.0,8.0,2014,juli
Telemark,3212.0,3.7,319.0,11.0,2014,juli
Aust-Agder,2016.0,3.5,107.0,6.0,2014,juli
Vest-Agder,2886.0,3.1,220.0,8.0,2014,juli
Rogaland,5396.0,2.1,573.0,12.0,2014,juli
Hordaland,6552.0,2.4,461.0,8.0,2014,juli
Sogn og Fjordane,1120.0,2.0,-7.0,-1.0,2014,juli
Møre og Romsdal,3232.0,2.3,129.0,4.0,2014,juli
Sør-Trøndelag,4477.0,2.7,494.0,12.0,2014,juli
Nord-Trøndelag,1998.0,2.9,308.0,18.0,2014,juli
Nordland,3692.0,3.0,-89.0,-2.0,2014,juli
Troms,2167.0,2.5,-32.0,-1.0,2014,juli
Finnmark,1435.0,3.7,52.0,4.0,2014,juli
Øvrige områder,4.0,,-5.0,-56.0,2014,juli
Ukjent,127.0,,51.0,67.0,2014,juli
