Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Juni 2014,,,,,2014,juni
I alt,73458.0,2.7,6862.0,10.0,2014,juni
Østfold,5229.0,3.7,482.0,10.0,2014,juni
Akershus,7438.0,2.4,776.0,12.0,2014,juni
Oslo,12663.0,3.5,1295.0,11.0,2014,juni
Hedmark,2744.0,2.8,117.0,4.0,2014,juni
Oppland,2093.0,2.2,-54.0,-3.0,2014,juni
Buskerud,4115.0,2.9,550.0,15.0,2014,juni
Vestfold,3879.0,3.2,289.0,8.0,2014,juni
Telemark,2992.0,3.4,264.0,10.0,2014,juni
Aust-Agder,1850.0,3.2,159.0,9.0,2014,juni
Vest-Agder,2656.0,2.9,295.0,12.0,2014,juni
Rogaland,5175.0,2.1,874.0,20.0,2014,juni
Hordaland,6170.0,2.3,654.0,12.0,2014,juni
Sogn og Fjordane,984.0,1.7,-12.0,-1.0,2014,juni
Møre og Romsdal,2938.0,2.1,253.0,9.0,2014,juni
Sør-Trøndelag,3973.0,2.4,496.0,14.0,2014,juni
Nord-Trøndelag,1777.0,2.6,316.0,22.0,2014,juni
Nordland,3395.0,2.8,-36.0,-1.0,2014,juni
Troms,1938.0,2.3,-19.0,-1.0,2014,juni
Finnmark,1330.0,3.4,106.0,9.0,2014,juni
Øvrige områder,5.0,,1.0,25.0,2014,juni
Ukjent,114.0,,56.0,97.0,2014,juni
