Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
November 2014,,,,,2014,november
I alt,71008.0,2.6,2767.0,4.0,2014,november
Østfold,4650.0,3.3,-149.0,-3.0,2014,november
Akershus,7521.0,2.5,545.0,8.0,2014,november
Oslo,12057.0,3.4,-39.0,0.0,2014,november
Hedmark,2470.0,2.6,-139.0,-5.0,2014,november
Oppland,1907.0,2.0,-238.0,-11.0,2014,november
Buskerud,3969.0,2.8,429.0,12.0,2014,november
Vestfold,3628.0,3.0,26.0,1.0,2014,november
Telemark,2816.0,3.2,317.0,13.0,2014,november
Aust-Agder,1840.0,3.2,-61.0,-3.0,2014,november
Vest-Agder,2663.0,2.9,269.0,11.0,2014,november
Rogaland,5806.0,2.3,885.0,18.0,2014,november
Hordaland,6069.0,2.2,603.0,11.0,2014,november
Sogn og Fjordane,923.0,1.6,-92.0,-9.0,2014,november
Møre og Romsdal,2823.0,2.1,103.0,4.0,2014,november
Sør-Trøndelag,3840.0,2.3,408.0,12.0,2014,november
Nord-Trøndelag,1747.0,2.6,150.0,9.0,2014,november
Nordland,3096.0,2.5,-228.0,-7.0,2014,november
Troms,1754.0,2.1,-3.0,0.0,2014,november
Finnmark,1289.0,3.3,-114.0,-8.0,2014,november
Øvrige områder,8.0,,1.0,14.0,2014,november
Ukjent,132.0,,94.0,247.0,2014,november
