Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Juli 2015,,,,,,2015,juli
I alt,85362.0,3.1,5715.0,7.0,3.0,2015,juli
Østfold,5343.0,3.7,-123.0,-2.0,3.8,2015,juli
Akershus,8550.0,2.8,389.0,5.0,2.7,2015,juli
Oslo,13567.0,3.7,-90.0,-1.0,3.8,2015,juli
Hedmark,2635.0,2.7,-436.0,-14.0,3.2,2015,juli
Oppland,2096.0,2.2,-147.0,-7.0,2.3,2015,juli
Buskerud,4517.0,3.1,-19.0,0.0,3.2,2015,juli
Vestfold,3888.0,3.1,-311.0,-7.0,3.4,2015,juli
Telemark,3045.0,3.5,-167.0,-5.0,3.7,2015,juli
Aust-Agder,2225.0,3.9,209.0,10.0,3.5,2015,juli
Vest-Agder,3300.0,3.6,414.0,14.0,3.1,2015,juli
Rogaland,8923.0,3.5,3527.0,65.0,2.1,2015,juli
Hordaland,8239.0,3.0,1687.0,26.0,2.4,2015,juli
Sogn og Fjordane,1143.0,2.0,23.0,2.0,2.0,2015,juli
Møre og Romsdal,3814.0,2.7,582.0,18.0,2.3,2015,juli
Sør-Trøndelag,4744.0,2.9,267.0,6.0,2.7,2015,juli
Nord-Trøndelag,2149.0,3.2,151.0,8.0,2.9,2015,juli
Nordland,3531.0,2.9,-161.0,-4.0,3.0,2015,juli
Troms,2170.0,2.5,3.0,0.0,2.5,2015,juli
Finnmark,1392.0,3.5,-43.0,-3.0,3.7,2015,juli
Øvrige områder,11.0,,7.0,175.0,,2015,juli
Ukjent,80.0,,-47.0,-37.0,,2015,juli
