Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Mai 2016,,,,,,2016,mai
I alt,80342.0,2.9,5348.0,7.0,2.7,2016,mai
Østfold,4488.0,3.1,-358.0,-7.0,3.4,2016,mai
Akershus,7331.0,2.3,-254.0,-3.0,2.4,2016,mai
Oslo,11669.0,3.1,-560.0,-5.0,3.3,2016,mai
Hedmark,2111.0,2.1,-263.0,-11.0,2.4,2016,mai
Oppland,1792.0,1.8,-119.0,-6.0,2.0,2016,mai
Buskerud,3806.0,2.6,-178.0,-4.0,2.7,2016,mai
Vestfold,3742.0,3.0,294.0,9.0,2.8,2016,mai
Telemark,2812.0,3.2,-36.0,-1.0,3.3,2016,mai
Aust-Agder,2106.0,3.6,219.0,12.0,3.3,2016,mai
Vest-Agder,3426.0,3.6,531.0,18.0,3.1,2016,mai
Rogaland,11099.0,4.3,3464.0,45.0,3.0,2016,mai
Hordaland,8990.0,3.2,1936.0,27.0,2.6,2016,mai
Sogn og Fjordane,982.0,1.7,-88.0,-8.0,1.9,2016,mai
Møre og Romsdal,4263.0,3.0,1058.0,33.0,2.3,2016,mai
Sør-Trøndelag,4056.0,2.4,-33.0,-1.0,2.5,2016,mai
Nord-Trøndelag,1552.0,2.2,-159.0,-9.0,2.5,2016,mai
Nordland,3045.0,2.4,-30.0,-1.0,2.5,2016,mai
Troms,1754.0,2.0,-17.0,-1.0,2.1,2016,mai
Finnmark,1298.0,3.2,25.0,2.0,3.2,2016,mai
Øvrige områder,14.0,,2.0,17.0,,2016,mai
Ukjent,6.0,,-86.0,-93.0,,2016,mai
