Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
September 2016,,,,,,2016,september
I alt,78513.0,2.8,-1110.0,-1.0,2.9,2016,september
Østfold,4173.0,2.9,-466.0,-10.0,3.2,2016,september
Akershus,7351.0,2.3,-564.0,-7.0,2.6,2016,september
Oslo,11282.0,3.0,-1195.0,-10.0,3.4,2016,september
Hedmark,1996.0,2.0,-221.0,-10.0,2.3,2016,september
Oppland,1678.0,1.7,-166.0,-9.0,1.9,2016,september
Buskerud,3763.0,2.6,-361.0,-9.0,2.8,2016,september
Vestfold,3808.0,3.0,262.0,7.0,2.9,2016,september
Telemark,2334.0,2.7,-600.0,-20.0,3.4,2016,september
Aust-Agder,2034.0,3.5,-186.0,-8.0,3.9,2016,september
Vest-Agder,3203.0,3.4,-16.0,0.0,3.5,2016,september
Rogaland,11263.0,4.3,1585.0,16.0,3.8,2016,september
Hordaland,9220.0,3.3,1432.0,18.0,2.8,2016,september
Sogn og Fjordane,872.0,1.5,-144.0,-14.0,1.8,2016,september
Møre og Romsdal,4264.0,3.0,675.0,19.0,2.6,2016,september
Sør-Trøndelag,3953.0,2.3,-295.0,-7.0,2.6,2016,september
Nord-Trøndelag,1445.0,2.1,-361.0,-20.0,2.6,2016,september
Nordland,2959.0,2.4,-244.0,-8.0,2.6,2016,september
Troms,1671.0,1.9,-154.0,-8.0,2.1,2016,september
Finnmark,1223.0,3.0,-35.0,-3.0,3.2,2016,september
Øvrige områder,17.0,,8.0,89.0,,2016,september
Ukjent,4.0,,-64.0,-94.0,,2016,september
