Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Januar 2018,,,,,,2018,januar
I alt,71849.0,2.6,-16389.0,-19.0,3.2,2018,januar
Østfold,4402.0,3.1,-523.0,-11.0,3.4,2018,januar
Akershus,6671.0,2.1,-1043.0,-14.0,2.4,2018,januar
Oslo,10238.0,2.7,-1558.0,-13.0,3.1,2018,januar
Hedmark,1943.0,2.0,-215.0,-10.0,2.2,2018,januar
Oppland,1791.0,1.8,-203.0,-10.0,2.0,2018,januar
Buskerud,3642.0,2.5,-413.0,-10.0,2.8,2018,januar
Vestfold,3758.0,3.0,-675.0,-15.0,3.5,2018,januar
Telemark,2326.0,2.7,-709.0,-23.0,3.5,2018,januar
Aust-Agder,1913.0,3.4,-347.0,-15.0,4.0,2018,januar
Vest-Agder,2713.0,2.9,-887.0,-25.0,3.9,2018,januar
Rogaland,8485.0,3.3,-4294.0,-34.0,5.0,2018,januar
Hordaland,8163.0,2.9,-2153.0,-21.0,3.7,2018,januar
Sogn og Fjordane,987.0,1.7,-94.0,-9.0,1.8,2018,januar
Møre og Romsdal,3943.0,2.8,-1165.0,-23.0,3.6,2018,januar
Nordland,2724.0,2.2,-649.0,-19.0,2.7,2018,januar
Troms Romsa,1503.0,1.7,-465.0,-24.0,2.2,2018,januar
Finnmark Finnmárku,1243.0,3.1,-277.0,-18.0,3.8,2018,januar
Trøndelag,5396.0,2.2,-710.0,-12.0,2.5,2018,januar
Øvrige områder,7.0,,-9.0,-56.0,,2018,januar
Ukjent,,,,,,2018,januar
