Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Oktober 2020,,,,,,2020,oktober
I alt,99412.0,3.5,39863.0,67.0,2.1,2020,oktober
Oslo,18541.0,4.7,9067.0,96.0,2.4,2020,oktober
Rogaland,9160.0,3.6,3652.0,66.0,2.2,2020,oktober
Møre og Romsdal,4059.0,2.9,1461.0,56.0,1.9,2020,oktober
Nordland,3135.0,2.5,912.0,41.0,1.8,2020,oktober
Viken,25332.0,3.9,10883.0,75.0,2.3,2020,oktober
Innlandet,5076.0,2.7,1680.0,49.0,1.8,2020,oktober
Vestfold og Telemark,7638.0,3.6,2422.0,46.0,2.5,2020,oktober
Agder,4990.0,3.3,1501.0,43.0,2.3,2020,oktober
Vestland,11477.0,3.4,4896.0,74.0,2.0,2020,oktober
Trøndelag - Trööndelage,6442.0,2.6,2180.0,51.0,1.7,2020,oktober
Troms og Finnmark - Romsa ja Finnmárku,3473.0,2.7,1133.0,48.0,1.8,2020,oktober
Øvrige områder,72.0,,65.0,929.0,,2020,oktober
Ukjent,17.0,,11.0,183.0,,2020,oktober
