Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Februar 2021,,,,,,2021,februar
I alt,120504.0,4.3,55088.0,84.0,2.3,2021,februar
Oslo,25515.0,6.4,15630.0,158.0,2.5,2021,februar
Rogaland,9678.0,3.8,3885.0,67.0,2.3,2021,februar
Møre og Romsdal,4175.0,3.0,1253.0,43.0,2.1,2021,februar
Nordland,3433.0,2.8,1009.0,42.0,1.9,2021,februar
Viken,31278.0,4.9,15323.0,96.0,2.5,2021,februar
Innlandet,5730.0,3.0,1912.0,50.0,2.0,2021,februar
Vestfold og Telemark,8915.0,4.3,3045.0,52.0,2.8,2021,februar
Agder,5458.0,3.6,1585.0,41.0,2.5,2021,februar
Vestland,14699.0,4.3,7375.0,101.0,2.2,2021,februar
Trøndelag - Trööndelage,7762.0,3.1,2833.0,57.0,2.0,2021,februar
Troms og Finnmark - Romsa ja Finnmárku,3778.0,2.9,1180.0,45.0,2.0,2021,februar
Øvrige områder,68.0,,57.0,518.0,,2021,februar
Ukjent,15.0,,1.0,7.0,,2021,februar
