Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Desember 2023,,,,,,2023,desember
I alt,55394.0,1.9,7710.0,16.0,1.6,2023,desember
Oslo,9713.0,2.4,1889.0,24.0,2.0,2023,desember
Rogaland,4432.0,1.7,351.0,9.0,1.6,2023,desember
Møre og Romsdal,2293.0,1.7,187.0,9.0,1.5,2023,desember
Nordland - Nordlánnda,1749.0,1.4,246.0,16.0,1.2,2023,desember
Viken,14324.0,2.2,2188.0,18.0,1.9,2023,desember
Innlandet,3038.0,1.6,243.0,9.0,1.5,2023,desember
Vestfold og Telemark,4859.0,2.3,285.0,6.0,2.2,2023,desember
Agder,3100.0,2.0,398.0,15.0,1.8,2023,desember
Vestland,5899.0,1.7,586.0,11.0,1.6,2023,desember
Trøndelag - Trööndelage,3853.0,1.5,829.0,27.0,1.2,2023,desember
Troms og Finnmark - Romsa ja Finnmárku,2111.0,1.6,502.0,31.0,1.3,2023,desember
Øvrige områder,10.0,,3.0,43.0,,2023,desember
Ukjent,13.0,,3.0,30.0,,2023,desember
