Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Januar 2023,,,,,,2023,januar
I alt,55357.0,1.9,-18786.0,-25.0,2.6,2023,januar
Oslo,8987.0,2.2,-4626.0,-34.0,3.4,2023,januar
Rogaland,4574.0,1.8,-1572.0,-26.0,2.4,2023,januar
Møre og Romsdal,2385.0,1.7,-784.0,-25.0,2.3,2023,januar
Nordland - Nordlánnda,1782.0,1.5,-741.0,-29.0,2.1,2023,januar
Viken,14023.0,2.1,-4592.0,-25.0,2.9,2023,januar
Innlandet,3219.0,1.7,-662.0,-17.0,2.1,2023,januar
Vestfold og Telemark,5308.0,2.5,-982.0,-16.0,3.0,2023,januar
Agder,3109.0,2.0,-762.0,-20.0,2.5,2023,januar
Vestland,6157.0,1.8,-2096.0,-25.0,2.4,2023,januar
Trøndelag - Trööndelage,3873.0,1.5,-1171.0,-23.0,2.0,2023,januar
Troms og Finnmark - Romsa ja Finnmárku,1914.0,1.5,-785.0,-29.0,2.1,2023,januar
Øvrige områder,8.0,,-22.0,-73.0,,2023,januar
Ukjent,18.0,,9.0,100.0,,2023,januar
