Fylke,År (intervall),År,Kjønn,Alder,Vaksine mot,Måltall,Andel,SortFylke
Hele landet,2020-2024,2024-01-01,Kjønn samlet,9 år,Difteri,andel (prosent),0.951,2
Hele landet,2020-2024,2024-01-01,Kjønn samlet,9 år,Kikhoste,andel (prosent),0.9490000000000001,2
Hele landet,2020-2024,2024-01-01,Kjønn samlet,9 år,Meslinger,andel (prosent),0.971,2
Hele landet,2020-2024,2024-01-01,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),0.95,2
Oslo (fylke),2020-2024,2024-01-01,Kjønn samlet,9 år,Difteri,andel (prosent),0.932,10
Oslo (fylke),2020-2024,2024-01-01,Kjønn samlet,9 år,Kikhoste,andel (prosent),0.9309999999999999,10
Oslo (fylke),2020-2024,2024-01-01,Kjønn samlet,9 år,Meslinger,andel (prosent),0.965,10
Oslo (fylke),2020-2024,2024-01-01,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),0.932,10
Østfold,2020-2024,2024-01-01,Kjønn samlet,9 år,Difteri,andel (prosent),0.9520000000000001,16
Østfold,2020-2024,2024-01-01,Kjønn samlet,9 år,Kikhoste,andel (prosent),0.951,16
Østfold,2020-2024,2024-01-01,Kjønn samlet,9 år,Meslinger,andel (prosent),0.9740000000000001,16
Østfold,2020-2024,2024-01-01,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),0.9490000000000001,16
Akershus,2020-2024,2024-01-01,Kjønn samlet,9 år,Difteri,andel (prosent),0.9520000000000001,4
Akershus,2020-2024,2024-01-01,Kjønn samlet,9 år,Kikhoste,andel (prosent),0.95,4
Akershus,2020-2024,2024-01-01,Kjønn samlet,9 år,Meslinger,andel (prosent),0.971,4
Akershus,2020-2024,2024-01-01,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),0.951,4
Buskerud,2020-2024,2024-01-01,Kjønn samlet,9 år,Difteri,andel (prosent),0.953,5
Buskerud,2020-2024,2024-01-01,Kjønn samlet,9 år,Kikhoste,andel (prosent),0.951,5
Buskerud,2020-2024,2024-01-01,Kjønn samlet,9 år,Meslinger,andel (prosent),0.973,5
Buskerud,2020-2024,2024-01-01,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),0.953,5
Innlandet,2020-2024,2024-01-01,Kjønn samlet,9 år,Difteri,andel (prosent),0.955,7
Innlandet,2020-2024,2024-01-01,Kjønn samlet,9 år,Kikhoste,andel (prosent),0.953,7
Innlandet,2020-2024,2024-01-01,Kjønn samlet,9 år,Meslinger,andel (prosent),0.971,7
Innlandet,2020-2024,2024-01-01,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),0.9540000000000001,7
Vestfold,2020-2024,2024-01-01,Kjønn samlet,9 år,Difteri,andel (prosent),0.948,14
Vestfold,2020-2024,2024-01-01,Kjønn samlet,9 år,Kikhoste,andel (prosent),0.9470000000000001,14
Vestfold,2020-2024,2024-01-01,Kjønn samlet,9 år,Meslinger,andel (prosent),0.9690000000000001,14
Vestfold,2020-2024,2024-01-01,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),0.946,14
Telemark,2020-2024,2024-01-01,Kjønn samlet,9 år,Difteri,andel (prosent),0.95,1
Telemark,2020-2024,2024-01-01,Kjønn samlet,9 år,Kikhoste,andel (prosent),0.946,1
Telemark,2020-2024,2024-01-01,Kjønn samlet,9 år,Meslinger,andel (prosent),0.968,1
Telemark,2020-2024,2024-01-01,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),0.9490000000000001,1
Agder,2020-2024,2024-01-01,Kjønn samlet,9 år,Difteri,andel (prosent),0.955,3
Agder,2020-2024,2024-01-01,Kjønn samlet,9 år,Kikhoste,andel (prosent),0.9520000000000001,3
Agder,2020-2024,2024-01-01,Kjønn samlet,9 år,Meslinger,andel (prosent),0.97,3
Agder,2020-2024,2024-01-01,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),0.9540000000000001,3
Rogaland,2020-2024,2024-01-01,Kjønn samlet,9 år,Difteri,andel (prosent),0.9570000000000001,11
Rogaland,2020-2024,2024-01-01,Kjønn samlet,9 år,Kikhoste,andel (prosent),0.955,11
Rogaland,2020-2024,2024-01-01,Kjønn samlet,9 år,Meslinger,andel (prosent),0.975,11
Rogaland,2020-2024,2024-01-01,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),0.955,11
Vestland,2020-2024,2024-01-01,Kjønn samlet,9 år,Difteri,andel (prosent),0.961,15
Vestland,2020-2024,2024-01-01,Kjønn samlet,9 år,Kikhoste,andel (prosent),0.9590000000000001,15
Vestland,2020-2024,2024-01-01,Kjønn samlet,9 år,Meslinger,andel (prosent),0.978,15
Vestland,2020-2024,2024-01-01,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),0.96,15
Møre og Romsdal,2020-2024,2024-01-01,Kjønn samlet,9 år,Difteri,andel (prosent),0.956,8
Møre og Romsdal,2020-2024,2024-01-01,Kjønn samlet,9 år,Kikhoste,andel (prosent),0.953,8
Møre og Romsdal,2020-2024,2024-01-01,Kjønn samlet,9 år,Meslinger,andel (prosent),0.9740000000000001,8
Møre og Romsdal,2020-2024,2024-01-01,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),0.955,8
Trøndelag Trööndelage,2020-2024,2024-01-01,Kjønn samlet,9 år,Difteri,andel (prosent),0.96,13
Trøndelag Trööndelage,2020-2024,2024-01-01,Kjønn samlet,9 år,Kikhoste,andel (prosent),0.9570000000000001,13
Trøndelag Trööndelage,2020-2024,2024-01-01,Kjønn samlet,9 år,Meslinger,andel (prosent),0.975,13
Trøndelag Trööndelage,2020-2024,2024-01-01,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),0.958,13
Nordland Nordlánnda,2020-2024,2024-01-01,Kjønn samlet,9 år,Difteri,andel (prosent),0.9470000000000001,9
Nordland Nordlánnda,2020-2024,2024-01-01,Kjønn samlet,9 år,Kikhoste,andel (prosent),0.945,9
Nordland Nordlánnda,2020-2024,2024-01-01,Kjønn samlet,9 år,Meslinger,andel (prosent),0.9670000000000001,9
Nordland Nordlánnda,2020-2024,2024-01-01,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),0.945,9
Troms Romsa Tromssa,2020-2024,2024-01-01,Kjønn samlet,9 år,Difteri,andel (prosent),0.943,12
Troms Romsa Tromssa,2020-2024,2024-01-01,Kjønn samlet,9 år,Kikhoste,andel (prosent),0.941,12
