Fylke,År,Alder,Innvandringsbakgrunn,status,Måltall,Andel,SortAlder,SortFylke
Hele landet,2024-01-01,Alle aldre,totalt,bor trangt,andel (prosent),0.09699999999999999,1,2
Hele landet,2024-01-01,Alle aldre,innvandrere,bor trangt,andel (prosent),0.213,1,2
Hele landet,2024-01-01,0-17 år,totalt,bor trangt,andel (prosent),0.183,2,2
Hele landet,2024-01-01,0-17 år,innvandrere,bor trangt,andel (prosent),0.43700000000000006,2,2
Oslo (fylke),2024-01-01,Alle aldre,totalt,bor trangt,andel (prosent),0.188,1,10
Oslo (fylke),2024-01-01,Alle aldre,innvandrere,bor trangt,andel (prosent),0.292,1,10
Oslo (fylke),2024-01-01,0-17 år,totalt,bor trangt,andel (prosent),0.34,2,10
Oslo (fylke),2024-01-01,0-17 år,innvandrere,bor trangt,andel (prosent),0.626,2,10
Østfold,2024-01-01,Alle aldre,totalt,bor trangt,andel (prosent),0.08900000000000001,1,16
Østfold,2024-01-01,Alle aldre,innvandrere,bor trangt,andel (prosent),0.19899999999999998,1,16
Østfold,2024-01-01,0-17 år,totalt,bor trangt,andel (prosent),0.19,2,16
Østfold,2024-01-01,0-17 år,innvandrere,bor trangt,andel (prosent),0.44799999999999995,2,16
Akershus,2024-01-01,Alle aldre,totalt,bor trangt,andel (prosent),0.095,1,4
Akershus,2024-01-01,Alle aldre,innvandrere,bor trangt,andel (prosent),0.20199999999999999,1,4
Akershus,2024-01-01,0-17 år,totalt,bor trangt,andel (prosent),0.16899999999999998,2,4
Akershus,2024-01-01,0-17 år,innvandrere,bor trangt,andel (prosent),0.451,2,4
Buskerud,2024-01-01,Alle aldre,totalt,bor trangt,andel (prosent),0.08800000000000001,1,5
Buskerud,2024-01-01,Alle aldre,innvandrere,bor trangt,andel (prosent),0.195,1,5
Buskerud,2024-01-01,0-17 år,totalt,bor trangt,andel (prosent),0.17800000000000002,2,5
Buskerud,2024-01-01,0-17 år,innvandrere,bor trangt,andel (prosent),0.41700000000000004,2,5
Innlandet,2024-01-01,Alle aldre,totalt,bor trangt,andel (prosent),0.067,1,7
Innlandet,2024-01-01,Alle aldre,innvandrere,bor trangt,andel (prosent),0.18600000000000003,1,7
Innlandet,2024-01-01,0-17 år,totalt,bor trangt,andel (prosent),0.145,2,7
Innlandet,2024-01-01,0-17 år,innvandrere,bor trangt,andel (prosent),0.401,2,7
Vestfold,2024-01-01,Alle aldre,totalt,bor trangt,andel (prosent),0.071,1,14
Vestfold,2024-01-01,Alle aldre,innvandrere,bor trangt,andel (prosent),0.171,1,14
Vestfold,2024-01-01,0-17 år,totalt,bor trangt,andel (prosent),0.153,2,14
Vestfold,2024-01-01,0-17 år,innvandrere,bor trangt,andel (prosent),0.402,2,14
Telemark,2024-01-01,Alle aldre,totalt,bor trangt,andel (prosent),0.071,1,1
Telemark,2024-01-01,Alle aldre,innvandrere,bor trangt,andel (prosent),0.183,1,1
Telemark,2024-01-01,0-17 år,totalt,bor trangt,andel (prosent),0.156,2,1
Telemark,2024-01-01,0-17 år,innvandrere,bor trangt,andel (prosent),0.38299999999999995,2,1
Agder,2024-01-01,Alle aldre,totalt,bor trangt,andel (prosent),0.073,1,3
Agder,2024-01-01,Alle aldre,innvandrere,bor trangt,andel (prosent),0.17800000000000002,1,3
Agder,2024-01-01,0-17 år,totalt,bor trangt,andel (prosent),0.139,2,3
Agder,2024-01-01,0-17 år,innvandrere,bor trangt,andel (prosent),0.371,2,3
Rogaland,2024-01-01,Alle aldre,totalt,bor trangt,andel (prosent),0.07400000000000001,1,11
Rogaland,2024-01-01,Alle aldre,innvandrere,bor trangt,andel (prosent),0.172,1,11
Rogaland,2024-01-01,0-17 år,totalt,bor trangt,andel (prosent),0.138,2,11
Rogaland,2024-01-01,0-17 år,innvandrere,bor trangt,andel (prosent),0.34600000000000003,2,11
Vestland,2024-01-01,Alle aldre,totalt,bor trangt,andel (prosent),0.09300000000000001,1,15
Vestland,2024-01-01,Alle aldre,innvandrere,bor trangt,andel (prosent),0.207,1,15
Vestland,2024-01-01,0-17 år,totalt,bor trangt,andel (prosent),0.17800000000000002,2,15
Vestland,2024-01-01,0-17 år,innvandrere,bor trangt,andel (prosent),0.424,2,15
Møre og Romsdal,2024-01-01,Alle aldre,totalt,bor trangt,andel (prosent),0.069,1,8
Møre og Romsdal,2024-01-01,Alle aldre,innvandrere,bor trangt,andel (prosent),0.177,1,8
Møre og Romsdal,2024-01-01,0-17 år,totalt,bor trangt,andel (prosent),0.136,2,8
Møre og Romsdal,2024-01-01,0-17 år,innvandrere,bor trangt,andel (prosent),0.371,2,8
Trøndelag Trööndelage,2024-01-01,Alle aldre,totalt,bor trangt,andel (prosent),0.091,1,13
Trøndelag Trööndelage,2024-01-01,Alle aldre,innvandrere,bor trangt,andel (prosent),0.217,1,13
Trøndelag Trööndelage,2024-01-01,0-17 år,totalt,bor trangt,andel (prosent),0.163,2,13
Trøndelag Trööndelage,2024-01-01,0-17 år,innvandrere,bor trangt,andel (prosent),0.43700000000000006,2,13
Nordland Nordlánnda,2024-01-01,Alle aldre,totalt,bor trangt,andel (prosent),0.081,1,9
Nordland Nordlánnda,2024-01-01,Alle aldre,innvandrere,bor trangt,andel (prosent),0.209,1,9
Nordland Nordlánnda,2024-01-01,0-17 år,totalt,bor trangt,andel (prosent),0.171,2,9
Nordland Nordlánnda,2024-01-01,0-17 år,innvandrere,bor trangt,andel (prosent),0.425,2,9
Troms Romsa Tromssa,2024-01-01,Alle aldre,totalt,bor trangt,andel (prosent),0.092,1,12
Troms Romsa Tromssa,2024-01-01,Alle aldre,innvandrere,bor trangt,andel (prosent),0.228,1,12
Troms Romsa Tromssa,2024-01-01,0-17 år,totalt,bor trangt,andel (prosent),0.191,2,12
Troms Romsa Tromssa,2024-01-01,0-17 år,innvandrere,bor trangt,andel (prosent),0.496,2,12
Finnmark Finnmárku Finmarkku,2024-01-01,Alle aldre,totalt,bor trangt,andel (prosent),0.099,1,6
Finnmark Finnmárku Finmarkku,2024-01-01,Alle aldre,innvandrere,bor trangt,andel (prosent),0.2,1,6
Finnmark Finnmárku Finmarkku,2024-01-01,0-17 år,totalt,bor trangt,andel (prosent),0.215,2,6
Finnmark Finnmárku Finmarkku,2024-01-01,0-17 år,innvandrere,bor trangt,andel (prosent),0.45799999999999996,2,6
