Fylke,År,Parameter,Forsyningskvalitet,Måltall,Andel,SortFylke
Hele landet,2024-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.8909999999999999,2
Hele landet,2024-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.99,2
Hele landet,2024-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.894,2
Oslo (fylke),2024-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,10
Oslo (fylke),2024-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,10
Oslo (fylke),2024-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,10
Østfold,2024-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.742,16
Østfold,2024-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.997,16
Østfold,2024-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.742,16
Akershus,2024-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.9179999999999999,4
Akershus,2024-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,4
Akershus,2024-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.9179999999999999,4
Buskerud,2024-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.9620000000000001,5
Buskerud,2024-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.9940000000000001,5
Buskerud,2024-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.963,5
Innlandet,2024-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.648,7
Innlandet,2024-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.987,7
Innlandet,2024-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.654,7
Vestfold,2024-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.997,14
Vestfold,2024-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.997,14
Vestfold,2024-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.9990000000000001,14
Telemark,2024-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.935,1
Telemark,2024-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.998,1
Telemark,2024-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.935,1
Agder,2024-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.943,3
Agder,2024-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,3
Agder,2024-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.9440000000000001,3
Rogaland,2024-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.9129999999999999,11
Rogaland,2024-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.9990000000000001,11
Rogaland,2024-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.9129999999999999,11
Vestland,2024-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.866,15
Vestland,2024-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.9740000000000001,15
Vestland,2024-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.873,15
Møre og Romsdal,2024-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.861,8
Møre og Romsdal,2024-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.9840000000000001,8
Møre og Romsdal,2024-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.8690000000000001,8
Trøndelag Trööndelage,2024-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.879,13
Trøndelag Trööndelage,2024-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.971,13
Trøndelag Trööndelage,2024-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.885,13
Nordland Nordlánnda,2024-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.848,9
Nordland Nordlánnda,2024-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.968,9
Nordland Nordlánnda,2024-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.8540000000000001,9
Troms Romsa Tromssa,2024-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.8059999999999999,12
Troms Romsa Tromssa,2024-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.9740000000000001,12
Troms Romsa Tromssa,2024-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.8240000000000001,12
Finnmark Finnmárku Finmarkku,2024-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.7609999999999999,6
Finnmark Finnmárku Finmarkku,2024-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.986,6
Finnmark Finnmárku Finmarkku,2024-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.772,6
