Fylke,År (intervall),År,Kjønn,Alder,Utdanningsnivå,Måltall,Antall,SortKjonn,SortFylke
Hele landet,2018-2024,2024-01-01,Kjønn samlet,Ved fødsel,alle utdanningsnivåer,leveår,83.0,1,2
Hele landet,2018-2024,2024-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,81.4,2,2
Hele landet,2018-2024,2024-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.6,3,2
Oslo (fylke),2018-2024,2024-01-01,Kjønn samlet,Ved fødsel,alle utdanningsnivåer,leveår,83.3,1,10
Oslo (fylke),2018-2024,2024-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,81.7,2,10
Oslo (fylke),2018-2024,2024-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.9,3,10
Østfold,2018-2024,2024-01-01,Kjønn samlet,Ved fødsel,alle utdanningsnivåer,leveår,82.4,1,16
Østfold,2018-2024,2024-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.8,2,16
Østfold,2018-2024,2024-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.9,3,16
Akershus,2018-2024,2024-01-01,Kjønn samlet,Ved fødsel,alle utdanningsnivåer,leveår,83.7,1,4
Akershus,2018-2024,2024-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,82.2,2,4
Akershus,2018-2024,2024-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,85.1,3,4
Buskerud,2018-2024,2024-01-01,Kjønn samlet,Ved fødsel,alle utdanningsnivåer,leveår,82.9,1,5
Buskerud,2018-2024,2024-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,81.4,2,5
Buskerud,2018-2024,2024-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.4,3,5
Innlandet,2018-2024,2024-01-01,Kjønn samlet,Ved fødsel,alle utdanningsnivåer,leveår,82.3,1,7
Innlandet,2018-2024,2024-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.8,2,7
Innlandet,2018-2024,2024-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.9,3,7
Vestfold,2018-2024,2024-01-01,Kjønn samlet,Ved fødsel,alle utdanningsnivåer,leveår,83.0,1,14
Vestfold,2018-2024,2024-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,81.5,2,14
Vestfold,2018-2024,2024-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.5,3,14
Telemark,2018-2024,2024-01-01,Kjønn samlet,Ved fødsel,alle utdanningsnivåer,leveår,82.3,1,1
Telemark,2018-2024,2024-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.6,2,1
Telemark,2018-2024,2024-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.0,3,1
Agder,2018-2024,2024-01-01,Kjønn samlet,Ved fødsel,alle utdanningsnivåer,leveår,82.8,1,3
Agder,2018-2024,2024-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,81.2,2,3
Agder,2018-2024,2024-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.4,3,3
Rogaland,2018-2024,2024-01-01,Kjønn samlet,Ved fødsel,alle utdanningsnivåer,leveår,83.2,1,11
Rogaland,2018-2024,2024-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,81.5,2,11
Rogaland,2018-2024,2024-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.9,3,11
Vestland,2018-2024,2024-01-01,Kjønn samlet,Ved fødsel,alle utdanningsnivåer,leveår,83.5,1,15
Vestland,2018-2024,2024-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,81.8,2,15
Vestland,2018-2024,2024-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,85.2,3,15
Møre og Romsdal,2018-2024,2024-01-01,Kjønn samlet,Ved fødsel,alle utdanningsnivåer,leveår,83.4,1,8
Møre og Romsdal,2018-2024,2024-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,81.8,2,8
Møre og Romsdal,2018-2024,2024-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,85.1,3,8
Trøndelag Trööndelage,2018-2024,2024-01-01,Kjønn samlet,Ved fødsel,alle utdanningsnivåer,leveår,83.3,1,13
Trøndelag Trööndelage,2018-2024,2024-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,81.8,2,13
Trøndelag Trööndelage,2018-2024,2024-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.8,3,13
Nordland Nordlánnda,2018-2024,2024-01-01,Kjønn samlet,Ved fødsel,alle utdanningsnivåer,leveår,82.6,1,9
Nordland Nordlánnda,2018-2024,2024-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.9,2,9
Nordland Nordlánnda,2018-2024,2024-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.3,3,9
Troms Romsa Tromssa,2018-2024,2024-01-01,Kjønn samlet,Ved fødsel,alle utdanningsnivåer,leveår,82.7,1,12
Troms Romsa Tromssa,2018-2024,2024-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,81.0,2,12
Troms Romsa Tromssa,2018-2024,2024-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.5,3,12
Finnmark Finnmárku Finmarkku,2018-2024,2024-01-01,Kjønn samlet,Ved fødsel,alle utdanningsnivåer,leveår,81.3,1,6
Finnmark Finnmárku Finmarkku,2018-2024,2024-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.1,2,6
Finnmark Finnmárku Finmarkku,2018-2024,2024-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.4,3,6
