Fylke,År (intervall),År,Kjønn,Alder,Utdanningsnivå,Måltall,Antall,SortFylke
Hele landet,2018-2024,2024-01-01,Kjønn samlet,30 år,grunnskole,leveår,80.2,2
Hele landet,2018-2024,2024-01-01,Kjønn samlet,30 år,videregående,leveår,83.9,2
Hele landet,2018-2024,2024-01-01,Kjønn samlet,30 år,universitet/ høgskole,leveår,86.9,2
Oslo (fylke),2018-2024,2024-01-01,Kjønn samlet,30 år,grunnskole,leveår,79.8,10
Oslo (fylke),2018-2024,2024-01-01,Kjønn samlet,30 år,videregående,leveår,83.1,10
Oslo (fylke),2018-2024,2024-01-01,Kjønn samlet,30 år,universitet/ høgskole,leveår,86.9,10
Østfold,2018-2024,2024-01-01,Kjønn samlet,30 år,grunnskole,leveår,79.8,16
Østfold,2018-2024,2024-01-01,Kjønn samlet,30 år,videregående,leveår,83.5,16
Østfold,2018-2024,2024-01-01,Kjønn samlet,30 år,universitet/ høgskole,leveår,86.6,16
Akershus,2018-2024,2024-01-01,Kjønn samlet,30 år,grunnskole,leveår,80.7,4
Akershus,2018-2024,2024-01-01,Kjønn samlet,30 år,videregående,leveår,84.1,4
Akershus,2018-2024,2024-01-01,Kjønn samlet,30 år,universitet/ høgskole,leveår,87.3,4
Buskerud,2018-2024,2024-01-01,Kjønn samlet,30 år,grunnskole,leveår,80.1,5
Buskerud,2018-2024,2024-01-01,Kjønn samlet,30 år,videregående,leveår,84.0,5
Buskerud,2018-2024,2024-01-01,Kjønn samlet,30 år,universitet/ høgskole,leveår,86.6,5
Innlandet,2018-2024,2024-01-01,Kjønn samlet,30 år,grunnskole,leveår,79.8,7
Innlandet,2018-2024,2024-01-01,Kjønn samlet,30 år,videregående,leveår,83.6,7
Innlandet,2018-2024,2024-01-01,Kjønn samlet,30 år,universitet/ høgskole,leveår,86.5,7
Vestfold,2018-2024,2024-01-01,Kjønn samlet,30 år,grunnskole,leveår,80.0,14
Vestfold,2018-2024,2024-01-01,Kjønn samlet,30 år,videregående,leveår,83.9,14
Vestfold,2018-2024,2024-01-01,Kjønn samlet,30 år,universitet/ høgskole,leveår,87.1,14
Telemark,2018-2024,2024-01-01,Kjønn samlet,30 år,grunnskole,leveår,79.5,1
Telemark,2018-2024,2024-01-01,Kjønn samlet,30 år,videregående,leveår,83.3,1
Telemark,2018-2024,2024-01-01,Kjønn samlet,30 år,universitet/ høgskole,leveår,86.6,1
Agder,2018-2024,2024-01-01,Kjønn samlet,30 år,grunnskole,leveår,79.3,3
Agder,2018-2024,2024-01-01,Kjønn samlet,30 år,videregående,leveår,83.7,3
Agder,2018-2024,2024-01-01,Kjønn samlet,30 år,universitet/ høgskole,leveår,86.8,3
Rogaland,2018-2024,2024-01-01,Kjønn samlet,30 år,grunnskole,leveår,80.1,11
Rogaland,2018-2024,2024-01-01,Kjønn samlet,30 år,videregående,leveår,84.1,11
Rogaland,2018-2024,2024-01-01,Kjønn samlet,30 år,universitet/ høgskole,leveår,86.9,11
Vestland,2018-2024,2024-01-01,Kjønn samlet,30 år,grunnskole,leveår,80.7,15
Vestland,2018-2024,2024-01-01,Kjønn samlet,30 år,videregående,leveår,84.3,15
Vestland,2018-2024,2024-01-01,Kjønn samlet,30 år,universitet/ høgskole,leveår,87.0,15
Møre og Romsdal,2018-2024,2024-01-01,Kjønn samlet,30 år,grunnskole,leveår,81.1,8
Møre og Romsdal,2018-2024,2024-01-01,Kjønn samlet,30 år,videregående,leveår,84.4,8
Møre og Romsdal,2018-2024,2024-01-01,Kjønn samlet,30 år,universitet/ høgskole,leveår,87.2,8
Trøndelag Trööndelage,2018-2024,2024-01-01,Kjønn samlet,30 år,grunnskole,leveår,80.5,13
Trøndelag Trööndelage,2018-2024,2024-01-01,Kjønn samlet,30 år,videregående,leveår,84.3,13
Trøndelag Trööndelage,2018-2024,2024-01-01,Kjønn samlet,30 år,universitet/ høgskole,leveår,86.9,13
Nordland Nordlánnda,2018-2024,2024-01-01,Kjønn samlet,30 år,grunnskole,leveår,80.1,9
Nordland Nordlánnda,2018-2024,2024-01-01,Kjønn samlet,30 år,videregående,leveår,83.9,9
Nordland Nordlánnda,2018-2024,2024-01-01,Kjønn samlet,30 år,universitet/ høgskole,leveår,86.5,9
Troms Romsa Tromssa,2018-2024,2024-01-01,Kjønn samlet,30 år,grunnskole,leveår,80.4,12
Troms Romsa Tromssa,2018-2024,2024-01-01,Kjønn samlet,30 år,videregående,leveår,83.7,12
Troms Romsa Tromssa,2018-2024,2024-01-01,Kjønn samlet,30 år,universitet/ høgskole,leveår,86.3,12
Finnmark Finnmárku Finmarkku,2018-2024,2024-01-01,Kjønn samlet,30 år,grunnskole,leveår,79.0,6
Finnmark Finnmárku Finmarkku,2018-2024,2024-01-01,Kjønn samlet,30 år,videregående,leveår,82.5,6
Finnmark Finnmárku Finmarkku,2018-2024,2024-01-01,Kjønn samlet,30 år,universitet/ høgskole,leveår,86.4,6
