Fylke,År (intervall),År,Kjønn,Foreldrenes utdanningsnivå,Innvandringsbakgrunn,Måltall,Andel,SortFylke
Hele landet,2023-2025,2025-01-01,Kjønn samlet,totalt,totalt,"andel (prosent, standardisert)",42.3,2
Hele landet,2023-2025,2025-01-01,Kjønn samlet,grunnskole,totalt,"andel (prosent, standardisert)",35.8,2
Hele landet,2023-2025,2025-01-01,Kjønn samlet,videregående,totalt,"andel (prosent, standardisert)",39.4,2
Hele landet,2023-2025,2025-01-01,Kjønn samlet,universitet/ høgskole,totalt,"andel (prosent, standardisert)",44.6,2
Oslo - Oslove (fylke),2023-2025,2025-01-01,Kjønn samlet,totalt,totalt,"andel (prosent, standardisert)",44.3,10
Oslo - Oslove (fylke),2023-2025,2025-01-01,Kjønn samlet,grunnskole,totalt,"andel (prosent, standardisert)",37.3,10
Oslo - Oslove (fylke),2023-2025,2025-01-01,Kjønn samlet,videregående,totalt,"andel (prosent, standardisert)",40.5,10
Oslo - Oslove (fylke),2023-2025,2025-01-01,Kjønn samlet,universitet/ høgskole,totalt,"andel (prosent, standardisert)",46.7,10
Østfold,2023-2025,2025-01-01,Kjønn samlet,totalt,totalt,"andel (prosent, standardisert)",41.2,16
Østfold,2023-2025,2025-01-01,Kjønn samlet,grunnskole,totalt,"andel (prosent, standardisert)",36.0,16
Østfold,2023-2025,2025-01-01,Kjønn samlet,videregående,totalt,"andel (prosent, standardisert)",39.0,16
Østfold,2023-2025,2025-01-01,Kjønn samlet,universitet/ høgskole,totalt,"andel (prosent, standardisert)",44.0,16
Akershus,2023-2025,2025-01-01,Kjønn samlet,totalt,totalt,"andel (prosent, standardisert)",42.7,4
Akershus,2023-2025,2025-01-01,Kjønn samlet,grunnskole,totalt,"andel (prosent, standardisert)",35.4,4
Akershus,2023-2025,2025-01-01,Kjønn samlet,videregående,totalt,"andel (prosent, standardisert)",39.6,4
Akershus,2023-2025,2025-01-01,Kjønn samlet,universitet/ høgskole,totalt,"andel (prosent, standardisert)",44.8,4
Buskerud,2023-2025,2025-01-01,Kjønn samlet,totalt,totalt,"andel (prosent, standardisert)",42.1,5
Buskerud,2023-2025,2025-01-01,Kjønn samlet,grunnskole,totalt,"andel (prosent, standardisert)",35.6,5
Buskerud,2023-2025,2025-01-01,Kjønn samlet,videregående,totalt,"andel (prosent, standardisert)",39.6,5
Buskerud,2023-2025,2025-01-01,Kjønn samlet,universitet/ høgskole,totalt,"andel (prosent, standardisert)",44.8,5
Innlandet,2023-2025,2025-01-01,Kjønn samlet,totalt,totalt,"andel (prosent, standardisert)",41.8,7
Innlandet,2023-2025,2025-01-01,Kjønn samlet,grunnskole,totalt,"andel (prosent, standardisert)",35.8,7
Innlandet,2023-2025,2025-01-01,Kjønn samlet,videregående,totalt,"andel (prosent, standardisert)",39.2,7
Innlandet,2023-2025,2025-01-01,Kjønn samlet,universitet/ høgskole,totalt,"andel (prosent, standardisert)",44.4,7
Vestfold,2023-2025,2025-01-01,Kjønn samlet,totalt,totalt,"andel (prosent, standardisert)",41.5,14
Vestfold,2023-2025,2025-01-01,Kjønn samlet,grunnskole,totalt,"andel (prosent, standardisert)",35.0,14
Vestfold,2023-2025,2025-01-01,Kjønn samlet,videregående,totalt,"andel (prosent, standardisert)",38.8,14
Vestfold,2023-2025,2025-01-01,Kjønn samlet,universitet/ høgskole,totalt,"andel (prosent, standardisert)",43.8,14
Telemark,2023-2025,2025-01-01,Kjønn samlet,totalt,totalt,"andel (prosent, standardisert)",41.2,1
Telemark,2023-2025,2025-01-01,Kjønn samlet,grunnskole,totalt,"andel (prosent, standardisert)",35.0,1
Telemark,2023-2025,2025-01-01,Kjønn samlet,videregående,totalt,"andel (prosent, standardisert)",39.0,1
Telemark,2023-2025,2025-01-01,Kjønn samlet,universitet/ høgskole,totalt,"andel (prosent, standardisert)",43.8,1
Agder,2023-2025,2025-01-01,Kjønn samlet,totalt,totalt,"andel (prosent, standardisert)",41.7,3
Agder,2023-2025,2025-01-01,Kjønn samlet,grunnskole,totalt,"andel (prosent, standardisert)",35.5,3
Agder,2023-2025,2025-01-01,Kjønn samlet,videregående,totalt,"andel (prosent, standardisert)",38.9,3
Agder,2023-2025,2025-01-01,Kjønn samlet,universitet/ høgskole,totalt,"andel (prosent, standardisert)",44.1,3
Rogaland,2023-2025,2025-01-01,Kjønn samlet,totalt,totalt,"andel (prosent, standardisert)",42.4,11
Rogaland,2023-2025,2025-01-01,Kjønn samlet,grunnskole,totalt,"andel (prosent, standardisert)",36.1,11
Rogaland,2023-2025,2025-01-01,Kjønn samlet,videregående,totalt,"andel (prosent, standardisert)",39.5,11
Rogaland,2023-2025,2025-01-01,Kjønn samlet,universitet/ høgskole,totalt,"andel (prosent, standardisert)",44.5,11
Vestland,2023-2025,2025-01-01,Kjønn samlet,totalt,totalt,"andel (prosent, standardisert)",42.5,15
Vestland,2023-2025,2025-01-01,Kjønn samlet,grunnskole,totalt,"andel (prosent, standardisert)",35.7,15
Vestland,2023-2025,2025-01-01,Kjønn samlet,videregående,totalt,"andel (prosent, standardisert)",39.6,15
Vestland,2023-2025,2025-01-01,Kjønn samlet,universitet/ høgskole,totalt,"andel (prosent, standardisert)",44.6,15
Møre og Romsdal,2023-2025,2025-01-01,Kjønn samlet,totalt,totalt,"andel (prosent, standardisert)",42.1,8
Møre og Romsdal,2023-2025,2025-01-01,Kjønn samlet,grunnskole,totalt,"andel (prosent, standardisert)",35.4,8
Møre og Romsdal,2023-2025,2025-01-01,Kjønn samlet,videregående,totalt,"andel (prosent, standardisert)",39.9,8
Møre og Romsdal,2023-2025,2025-01-01,Kjønn samlet,universitet/ høgskole,totalt,"andel (prosent, standardisert)",44.1,8
Trøndelag - Trööndelage,2023-2025,2025-01-01,Kjønn samlet,totalt,totalt,"andel (prosent, standardisert)",41.8,13
Trøndelag - Trööndelage,2023-2025,2025-01-01,Kjønn samlet,grunnskole,totalt,"andel (prosent, standardisert)",34.8,13
Trøndelag - Trööndelage,2023-2025,2025-01-01,Kjønn samlet,videregående,totalt,"andel (prosent, standardisert)",38.5,13
Trøndelag - Trööndelage,2023-2025,2025-01-01,Kjønn samlet,universitet/ høgskole,totalt,"andel (prosent, standardisert)",44.1,13
Nordland - Nordlánnda,2023-2025,2025-01-01,Kjønn samlet,totalt,totalt,"andel (prosent, standardisert)",42.0,9
Nordland - Nordlánnda,2023-2025,2025-01-01,Kjønn samlet,grunnskole,totalt,"andel (prosent, standardisert)",35.6,9
Nordland - Nordlánnda,2023-2025,2025-01-01,Kjønn samlet,videregående,totalt,"andel (prosent, standardisert)",39.7,9
Nordland - Nordlánnda,2023-2025,2025-01-01,Kjønn samlet,universitet/ høgskole,totalt,"andel (prosent, standardisert)",44.4,9
Troms - Romsa - Tromssa,2023-2025,2025-01-01,Kjønn samlet,totalt,totalt,"andel (prosent, standardisert)",41.9,12
Troms - Romsa - Tromssa,2023-2025,2025-01-01,Kjønn samlet,grunnskole,totalt,"andel (prosent, standardisert)",36.2,12
Troms - Romsa - Tromssa,2023-2025,2025-01-01,Kjønn samlet,videregående,totalt,"andel (prosent, standardisert)",38.9,12
