Fylke,År (intervall),År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortFylke
Hele landet,2022-2024,2024-01-01,Kjønn samlet,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",99.5,1,1,2
Hele landet,2022-2024,2024-01-01,Kjønn samlet,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",24.7,1,2,2
Hele landet,2022-2024,2024-01-01,Kjønn samlet,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",214.5,1,3,2
Hele landet,2022-2024,2024-01-01,Kjønn samlet,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",454.2,1,4,2
Hele landet,2022-2024,2024-01-01,Menn,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",107.0,2,1,2
Hele landet,2022-2024,2024-01-01,Menn,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",23.1,2,2,2
Hele landet,2022-2024,2024-01-01,Menn,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",238.1,2,3,2
Hele landet,2022-2024,2024-01-01,Menn,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",484.9,2,4,2
Hele landet,2022-2024,2024-01-01,Kvinner,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",91.6,3,1,2
Hele landet,2022-2024,2024-01-01,Kvinner,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",26.5,3,2,2
Hele landet,2022-2024,2024-01-01,Kvinner,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",190.4,3,3,2
Hele landet,2022-2024,2024-01-01,Kvinner,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",425.7,3,4,2
Oslo (fylke),2022-2024,2024-01-01,Kjønn samlet,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",88.1,1,1,10
Oslo (fylke),2022-2024,2024-01-01,Kjønn samlet,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",21.2,1,2,10
Oslo (fylke),2022-2024,2024-01-01,Kjønn samlet,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",191.8,1,3,10
Oslo (fylke),2022-2024,2024-01-01,Kjønn samlet,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",416.6,1,4,10
Oslo (fylke),2022-2024,2024-01-01,Menn,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",94.5,2,1,10
Oslo (fylke),2022-2024,2024-01-01,Menn,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",20.0,2,2,10
Oslo (fylke),2022-2024,2024-01-01,Menn,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",211.3,2,3,10
Oslo (fylke),2022-2024,2024-01-01,Menn,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",450.1,2,4,10
Oslo (fylke),2022-2024,2024-01-01,Kvinner,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",81.5,3,1,10
Oslo (fylke),2022-2024,2024-01-01,Kvinner,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",22.5,3,2,10
Oslo (fylke),2022-2024,2024-01-01,Kvinner,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",172.0,3,3,10
Oslo (fylke),2022-2024,2024-01-01,Kvinner,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",385.9,3,4,10
Østfold,2022-2024,2024-01-01,Kjønn samlet,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",113.8,1,1,16
Østfold,2022-2024,2024-01-01,Kjønn samlet,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",28.0,1,2,16
Østfold,2022-2024,2024-01-01,Kjønn samlet,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",245.8,1,3,16
Østfold,2022-2024,2024-01-01,Kjønn samlet,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",500.0,1,4,16
