Fylke,År (intervall),År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortFylke
Hele landet,2023-2025,2025-01-01,Kjønn samlet,75 år+,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",13.5,2
Oslo (fylke),2023-2025,2025-01-01,Kjønn samlet,75 år+,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",12.8,10
Østfold,2023-2025,2025-01-01,Kjønn samlet,75 år+,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",15.4,16
Akershus,2023-2025,2025-01-01,Kjønn samlet,75 år+,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",13.0,4
Buskerud,2023-2025,2025-01-01,Kjønn samlet,75 år+,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",12.0,5
Innlandet,2023-2025,2025-01-01,Kjønn samlet,75 år+,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",14.5,7
Vestfold,2023-2025,2025-01-01,Kjønn samlet,75 år+,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",10.7,14
Telemark,2023-2025,2025-01-01,Kjønn samlet,75 år+,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",15.6,1
Agder,2023-2025,2025-01-01,Kjønn samlet,75 år+,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",13.0,3
Rogaland,2023-2025,2025-01-01,Kjønn samlet,75 år+,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",12.8,11
Vestland,2023-2025,2025-01-01,Kjønn samlet,75 år+,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",13.2,15
Møre og Romsdal,2023-2025,2025-01-01,Kjønn samlet,75 år+,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",13.5,8
Trøndelag Trööndelage,2023-2025,2025-01-01,Kjønn samlet,75 år+,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",14.4,13
Nordland Nordlánnda,2023-2025,2025-01-01,Kjønn samlet,75 år+,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",15.2,9
Troms Romsa Tromssa,2023-2025,2025-01-01,Kjønn samlet,75 år+,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",12.8,12
Finnmark Finnmárku Finmarkku,2023-2025,2025-01-01,Kjønn samlet,75 år+,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",15.7,6
