Fylke,År,Måltall,Antall,SortFylke
Hele landet,2024-01-01,P90/P10,2.8,2
Oslo (fylke),2024-01-01,P90/P10,3.4,10
Østfold,2024-01-01,P90/P10,2.6,16
Akershus,2024-01-01,P90/P10,2.9,4
Buskerud,2024-01-01,P90/P10,2.7,5
Innlandet,2024-01-01,P90/P10,2.6,7
Vestfold,2024-01-01,P90/P10,2.7,14
Telemark,2024-01-01,P90/P10,2.7,1
Agder,2024-01-01,P90/P10,2.6,3
Rogaland,2024-01-01,P90/P10,2.8,11
Vestland,2024-01-01,P90/P10,2.7,15
Møre og Romsdal,2024-01-01,P90/P10,2.6,8
Trøndelag Trööndelage,2024-01-01,P90/P10,2.6,13
Nordland Nordlánnda,2024-01-01,P90/P10,2.6,9
Troms Romsa Tromssa,2024-01-01,P90/P10,2.6,12
Finnmark Finnmárku Finmarkku,2024-01-01,P90/P10,2.7,6
