Fylke,Skoleår,År,Skoleår_slutt,Kjønn,Foreldrenes utdanningsnivå,Innvandringsbakgrunn,Mestringsnivå,Klassetrinn,Måltall,Andel,SortFylke
Hele landet,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.26899999999999996,2
Hele landet,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.114,2
Oslo (fylke),2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.19699999999999998,10
Oslo (fylke),2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.087,10
Østfold,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.315,16
Østfold,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.126,16
Akershus,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.237,4
Akershus,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.098,4
Buskerud,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.278,5
Buskerud,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.11199999999999999,5
Innlandet,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.271,7
Innlandet,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.11800000000000001,7
Vestfold,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.263,14
Vestfold,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.12,14
Telemark,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.297,1
Telemark,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.12300000000000001,1
Agder,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.27899999999999997,3
Agder,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.127,3
Rogaland,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.27899999999999997,11
Rogaland,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.11699999999999999,11
Vestland,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.27899999999999997,15
Vestland,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.122,15
Møre og Romsdal,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.317,8
Møre og Romsdal,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.124,8
Trøndelag Trööndelage,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.278,13
Trøndelag Trööndelage,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.121,13
Nordland Nordlánnda,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.305,9
Nordland Nordlánnda,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.121,9
Troms Romsa Tromssa,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.32299999999999995,12
Troms Romsa Tromssa,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.122,12
Finnmark Finnmárku Finmarkku,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.314,6
Finnmark Finnmárku Finmarkku,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.163,6
