Fylke,År (intervall),År,Måltall,Antall,SortFylke
Hele landet,2020-2024,2024-01-01,gjennomsnittlig eksponeringsnivå,4.7,2
Oslo (fylke),2020-2024,2024-01-01,gjennomsnittlig eksponeringsnivå,6.4,10
Østfold,2020-2024,2024-01-01,gjennomsnittlig eksponeringsnivå,5.8,16
Akershus,2020-2024,2024-01-01,gjennomsnittlig eksponeringsnivå,6.0,4
Buskerud,2020-2024,2024-01-01,gjennomsnittlig eksponeringsnivå,4.7,5
Innlandet,2020-2024,2024-01-01,gjennomsnittlig eksponeringsnivå,4.0,7
Vestfold,2020-2024,2024-01-01,gjennomsnittlig eksponeringsnivå,5.6,14
Telemark,2020-2024,2024-01-01,gjennomsnittlig eksponeringsnivå,5.6,1
Agder,2020-2024,2024-01-01,gjennomsnittlig eksponeringsnivå,4.5,3
Rogaland,2020-2024,2024-01-01,gjennomsnittlig eksponeringsnivå,5.0,11
Vestland,2020-2024,2024-01-01,gjennomsnittlig eksponeringsnivå,3.8,15
Møre og Romsdal,2020-2024,2024-01-01,gjennomsnittlig eksponeringsnivå,2.9,8
Trøndelag Trööndelage,2020-2024,2024-01-01,gjennomsnittlig eksponeringsnivå,3.5,13
Nordland Nordlánnda,2020-2024,2024-01-01,gjennomsnittlig eksponeringsnivå,2.5,9
Troms Romsa Tromssa,2020-2024,2024-01-01,gjennomsnittlig eksponeringsnivå,2.7,12
Finnmark Finnmárku Finmarkku,2020-2024,2024-01-01,gjennomsnittlig eksponeringsnivå,2.4,6
