Fylke,År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortFylke
Hele landet,2024-01-01,Kjønn samlet,0-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",190.1,1,1,2
Hele landet,2024-01-01,Kjønn samlet,0-74 år,Psykiske symptomer,"per 1000, standardisert",140.6,1,1,2
Hele landet,2024-01-01,Kjønn samlet,0-74 år,Psykiske lidelser,"per 1000, standardisert",86.2,1,1,2
Hele landet,2024-01-01,Kjønn samlet,0-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",183.8,1,2,2
Hele landet,2024-01-01,Kjønn samlet,0-44 år,Psykiske symptomer,"per 1000, standardisert",130.7,1,2,2
Hele landet,2024-01-01,Kjønn samlet,0-44 år,Psykiske lidelser,"per 1000, standardisert",92.1,1,2,2
Hele landet,2024-01-01,Kjønn samlet,0-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",129.9,1,3,2
Hele landet,2024-01-01,Kjønn samlet,0-24 år,Psykiske symptomer,"per 1000, standardisert",88.3,1,3,2
Hele landet,2024-01-01,Kjønn samlet,0-24 år,Psykiske lidelser,"per 1000, standardisert",65.7,1,3,2
Hele landet,2024-01-01,Kjønn samlet,0-14 år,Psykiske symptomer og lidelser,"per 1000, standardisert",82.6,1,4,2
Hele landet,2024-01-01,Kjønn samlet,0-14 år,Psykiske symptomer,"per 1000, standardisert",58.1,1,4,2
Hele landet,2024-01-01,Kjønn samlet,0-14 år,Psykiske lidelser,"per 1000, standardisert",34.4,1,4,2
Hele landet,2024-01-01,Kjønn samlet,15-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",191.5,1,5,2
Hele landet,2024-01-01,Kjønn samlet,15-24 år,Psykiske symptomer,"per 1000, standardisert",127.5,1,5,2
Hele landet,2024-01-01,Kjønn samlet,15-24 år,Psykiske lidelser,"per 1000, standardisert",106.4,1,5,2
Hele landet,2024-01-01,Kjønn samlet,25-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",238.6,1,6,2
Hele landet,2024-01-01,Kjønn samlet,25-44 år,Psykiske symptomer,"per 1000, standardisert",173.8,1,6,2
Hele landet,2024-01-01,Kjønn samlet,25-44 år,Psykiske lidelser,"per 1000, standardisert",118.9,1,6,2
Hele landet,2024-01-01,Kjønn samlet,45-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",199.6,1,7,2
Hele landet,2024-01-01,Kjønn samlet,45-74 år,Psykiske symptomer,"per 1000, standardisert",155.8,1,7,2
Hele landet,2024-01-01,Kjønn samlet,45-74 år,Psykiske lidelser,"per 1000, standardisert",77.3,1,7,2
Hele landet,2024-01-01,Kjønn samlet,75-79 år,Psykiske symptomer og lidelser,"per 1000, standardisert",196.2,1,8,2
Hele landet,2024-01-01,Kjønn samlet,75-79 år,Psykiske symptomer,"per 1000, standardisert",152.8,1,8,2
Hele landet,2024-01-01,Kjønn samlet,75-79 år,Psykiske lidelser,"per 1000, standardisert",72.7,1,8,2
Hele landet,2024-01-01,Menn,0-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",157.2,2,1,2
Hele landet,2024-01-01,Menn,0-74 år,Psykiske symptomer,"per 1000, standardisert",113.2,2,1,2
Hele landet,2024-01-01,Menn,0-74 år,Psykiske lidelser,"per 1000, standardisert",73.2,2,1,2
Hele landet,2024-01-01,Menn,0-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",154.7,2,2,2
Hele landet,2024-01-01,Menn,0-44 år,Psykiske symptomer,"per 1000, standardisert",106.3,2,2,2
Hele landet,2024-01-01,Menn,0-44 år,Psykiske lidelser,"per 1000, standardisert",79.7,2,2,2
Hele landet,2024-01-01,Menn,0-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",120.6,2,3,2
Hele landet,2024-01-01,Menn,0-24 år,Psykiske symptomer,"per 1000, standardisert",78.9,2,3,2
Hele landet,2024-01-01,Menn,0-24 år,Psykiske lidelser,"per 1000, standardisert",61.8,2,3,2
Hele landet,2024-01-01,Menn,0-14 år,Psykiske symptomer og lidelser,"per 1000, standardisert",95.1,2,4,2
Hele landet,2024-01-01,Menn,0-14 år,Psykiske symptomer,"per 1000, standardisert",64.0,2,4,2
Hele landet,2024-01-01,Menn,0-14 år,Psykiske lidelser,"per 1000, standardisert",42.6,2,4,2
Hele landet,2024-01-01,Menn,15-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",153.6,2,5,2
Hele landet,2024-01-01,Menn,15-24 år,Psykiske symptomer,"per 1000, standardisert",98.2,2,5,2
Hele landet,2024-01-01,Menn,15-24 år,Psykiske lidelser,"per 1000, standardisert",86.7,2,5,2
