År,Fylke,Kjønn,Dødsårsak,Måltall,Antall,SortKjonn,SortFylke
2025*,Hele landet,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),11.7,1,2
2025*,Hele landet,Kvinne,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),5.7,3,2
2025*,Hele landet,Mann,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),17.8,2,2
2025*,Østfold,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),14.9,1,15
2025*,Østfold,Kvinne,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),6.7,3,15
2025*,Østfold,Mann,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),23.8,2,15
2025*,Akershus,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),11.7,1,4
2025*,Akershus,Kvinne,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),6.2,3,4
2025*,Akershus,Mann,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),17.4,2,4
2025*,Buskerud,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),10.6,1,5
2025*,Buskerud,Kvinne,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),5.1,3,5
2025*,Buskerud,Mann,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),16.1,2,5
2025*,Innlandet,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),16.0,1,7
2025*,Innlandet,Kvinne,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),5.7,3,7
2025*,Innlandet,Mann,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),26.4,2,7
2025*,Vestfold,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),13.1,1,13
2025*,Vestfold,Kvinne,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),8.6,3,13
2025*,Vestfold,Mann,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),17.6,2,13
2025*,Telemark,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),17.0,1,1
2025*,Telemark,Kvinne,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),11.2,3,1
2025*,Telemark,Mann,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),22.5,2,1
2025*,Agder,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),11.7,1,3
2025*,Agder,Kvinne,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),4.3,3,3
2025*,Agder,Mann,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),19.2,2,3
2025*,Rogaland,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),10.9,1,10
2025*,Rogaland,Kvinne,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),7.0,3,10
2025*,Rogaland,Mann,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),14.6,2,10
2025*,Vestland,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),10.6,1,14
2025*,Vestland,Kvinne,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),4.6,3,14
2025*,Vestland,Mann,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),16.8,2,14
2025*,Møre og Romsdal,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),8.5,1,8
2025*,Møre og Romsdal,Kvinne,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),1.7,3,8
2025*,Møre og Romsdal,Mann,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),15.0,2,8
2025*,Trøndelag,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),8.4,1,12
2025*,Trøndelag,Kvinne,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),2.5,3,12
2025*,Trøndelag,Mann,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),14.2,2,12
2025*,Nordland,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),10.3,1,9
2025*,Nordland,Kvinne,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),5.5,3,9
2025*,Nordland,Mann,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),15.0,2,9
2025*,Troms,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),12.7,1,11
2025*,Troms,Kvinne,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),6.7,3,11
2025*,Troms,Mann,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),18.4,2,11
2025*,Finnmark,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),28.9,1,6
2025*,Finnmark,Kvinne,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),5.5,3,6
2025*,Finnmark,Mann,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),50.3,2,6
