Fylke,År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortFylke
Hele landet,2025-01-01,Kjønn samlet,Alle aldre,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",15.7,1,1,2
Hele landet,2025-01-01,Kjønn samlet,Alle aldre,KOLS (J44),"per 1000, standardisert",1.4,1,1,2
Hele landet,2025-01-01,Kjønn samlet,Alle aldre,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",16.1,1,1,2
Hele landet,2025-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.6,1,1,2
Hele landet,2025-01-01,Kjønn samlet,Alle aldre,Hodeskader (S00-S09),"per 1000, standardisert",2.8,1,1,2
Hele landet,2025-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.6,1,1,2
Hele landet,2025-01-01,Kjønn samlet,Alle aldre,Forgiftninger (T36-T65),"per 1000, standardisert",0.7,1,1,2
Hele landet,2025-01-01,Kjønn samlet,0-74 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",9.5,1,2,2
Hele landet,2025-01-01,Kjønn samlet,0-74 år,KOLS (J44),"per 1000, standardisert",0.6,1,2,2
Hele landet,2025-01-01,Kjønn samlet,0-74 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",13.6,1,2,2
Hele landet,2025-01-01,Kjønn samlet,0-74 år,Personskader (S00-T78),"per 1000, standardisert",10.5,1,2,2
Hele landet,2025-01-01,Kjønn samlet,0-74 år,Hodeskader (S00-S09),"per 1000, standardisert",1.9,1,2,2
Hele landet,2025-01-01,Kjønn samlet,0-74 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.4,1,2,2
Hele landet,2025-01-01,Kjønn samlet,0-74 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.7,1,2,2
Hele landet,2025-01-01,Kjønn samlet,0-44 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",2.0,1,3,2
Hele landet,2025-01-01,Kjønn samlet,0-44 år,KOLS (J44),"per 1000, standardisert",0.0,1,3,2
Hele landet,2025-01-01,Kjønn samlet,0-44 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",6.5,1,3,2
Hele landet,2025-01-01,Kjønn samlet,0-44 år,Personskader (S00-T78),"per 1000, standardisert",9.2,1,3,2
Hele landet,2025-01-01,Kjønn samlet,0-44 år,Hodeskader (S00-S09),"per 1000, standardisert",1.8,1,3,2
Hele landet,2025-01-01,Kjønn samlet,0-44 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.0,1,3,2
Hele landet,2025-01-01,Kjønn samlet,0-44 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.8,1,3,2
Hele landet,2025-01-01,Kjønn samlet,0-24 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",0.8,1,4,2
Hele landet,2025-01-01,Kjønn samlet,0-24 år,KOLS (J44),"per 1000, standardisert",0.0,1,4,2
