ï»¿ogc_fid;ssbid250m;pop_tot
1;25057507369500;3
2;25060007369750;3
3;25067507369000;2
4;24980007375250;3
5;24977507375250;3
6;24972507375500;7
7;24970007375500;5
8;24970007375750;4
9;24965007376000;7
10;24975007375500;1
11;24975007376250;6
12;24980007375500;1
13;24972507376500;3
14;24975007376500;2
15;25050007370000;1
16;25015007373000;5
17;25107507375000;2
18;24962507376000;1
19;24960007376000;1
20;24957507376250;2
21;24960007376250;2
22;25325007402750;4
23;25205007400500;2
24;25207507400500;2
25;25205007400750;7
26;25207507401250;2
27;25335007403000;1
28;25310007407500;2
29;25307507408000;8
30;25307507408250;3
31;25307507408750;1
32;25262507408750;2
33;25257507409250;3
34;25227507411500;3
35;25252507409000;2
36;25252507409250;1
37;25250007409500;1
38;25252507409500;7
39;25252507409750;1
40;25240007410500;1
41;25252507410000;2
42;25250007410000;1
43;25250007410250;6
44;25242507410500;1
45;25232507411500;1
46;25225007411500;1
47;25175007410500;3
48;25170007411000;11
49;25172507411000;2
50;25170007411250;1
51;25165007410500;3
52;25160007412250;2
53;25152507413000;3
54;25147507413250;1
55;25137507414250;3
56;25130007414750;4
57;25127507415000;1
58;25130007417250;1
59;25130007417500;1
60;25125007417750;2
61;24970007418250;3
62;25127507418000;1
63;25122507418500;2
64;25125007418750;4
65;25127507419250;5
66;25122507419000;7
67;25125007419250;1
68;25132507419750;10
69;25130007419750;2
70;25132507420000;2
71;25135007420250;5
72;25137507420750;4
73;25135007420750;3
74;25137507421000;5
75;25137507421250;3
76;25135007421500;5
77;25140007421750;1
78;25137507422250;3
79;25137507422750;15
80;25140007422750;8
81;25135007422750;1
82;25140007423000;6
83;25135007423000;4
84;25137507423000;12
85;25135007423250;2
86;25140007423250;1
87;25137507423250;7
88;25135007423500;2
89;25140007423500;13
90;25140007423750;4
91;25137507423750;2
92;25137507424000;1
93;25130007424250;2
94;25140007424000;1
95;25137507424250;10
96;25137507424500;9
97;25137507424750;2
98;25135007424750;7
99;25130007424500;5
100;25132507424750;1
101;25127507425000;1
102;25132507425000;7
103;25135007425000;12
104;25127507425250;4
105;25132507425250;11
106;25127507425500;10
107;25132507425500;13
108;25132507425750;14
109;25127507425750;5
110;25132507426000;14
111;25135007425750;4
112;25135007426000;3
113;25165007426250;3
114;25165007426500;4
115;25165007427000;1
116;24977507431500;1
117;25005007435000;2
118;25002507435250;4
119;25005007435250;1
120;24990007435500;2
121;24990007435750;3
122;25005007435500;2
123;24990007436250;6
124;24990007436500;2
125;24990007437000;2
126;25132507426250;11
127;25130007426250;5
128;25132507426500;1
129;25132507426750;11
130;25135007426750;4
131;25135007427000;5
132;25132507427000;1
133;25132507427250;6
134;25132507427500;1
135;25135007427250;2
136;25135007427500;3
137;25135007427750;5
138;25130007428500;10
139;25132507428750;3
140;25130007428750;6
141;25132507429000;4
142;25132507429250;39
143;25162507427250;2
144;25167507427500;6
145;25165007427500;2
146;25160007428000;4
147;25147507428500;2
148;25147507428750;8
149;25150007429000;4
150;25152507429000;1
151;25150007429250;6
152;25147507429000;10
153;25147507429250;11
154;25145007429250;9
155;25147507429500;5
156;25142507429500;8
157;25145007429500;4
158;25142507429750;7
159;25147507429750;5
160;25142507430250;5
161;25142507430500;14
162;25135007429250;46
163;25135007429500;50
164;25140007429500;3
165;25137507429500;1
166;25135007429750;14
167;25132507429500;10
168;25125007429750;1
169;25137507429750;17
170;25137507430000;13
171;25140007430000;1
172;25135007430000;1
173;25140007430250;25
174;25135007430250;13
175;25137507430250;16
176;25135007430500;15
177;25140007430500;10
178;25137507430500;140
179;25140007430750;32
180;25137507430750;18
181;25140007431000;5
182;25140007431250;34
183;25137507431250;18
184;25137507431500;2
185;25140007431500;19
186;25140007431750;11
187;25142507430750;13
188;25142507431250;2
189;25142507431500;3
190;25145007432500;3
191;25147507432500;12
192;25145007432750;8
193;25147507432750;18
194;25147507433000;8
195;25150007432500;6
196;25150007432750;3
197;25155007433250;2
198;25147507433250;22
199;25145007433250;1
200;25147507433500;15
201;25147507433750;7
202;25150007433750;6
203;25152507434000;3
204;25150007434000;6
205;25152507434250;3
206;25155007434250;7
207;25155007434500;6
208;25157507434500;5
209;25157507434750;12
210;25160007434750;10
211;25155007434750;1
212;25155007435000;5
213;25157507435000;5
214;25160007435000;2
215;25157507435250;4
216;25160007435500;3
217;25160007435750;16
218;25160007436000;2
219;23002506531750;3
220;23000006532000;4
221;23002506532000;6
222;22995006531750;9
223;22992506532000;2
224;22995006532000;2
225;22990006533750;1
226;22992506533500;1
227;22997506533750;2
228;22995006533750;1
229;23005006533750;2
230;23005006534000;2
231;23007506534000;1
232;23000006534500;2
233;23000006534750;2
234;22990006534000;2
235;22990006534250;2
236;22990006534750;1
237;22992506534000;4
238;22995006534500;4
239;22995006534750;8
240;22992506535000;3
241;22997506535250;8
242;22995006535250;4
243;22992506535250;8
244;22987506535500;4
245;22990006535500;2
246;22987506535750;2
247;22990006535750;3
248;22987506536000;1
249;22990006536250;1
250;22990006536500;4
251;22997506535750;2
252;22997506536000;6
253;22997506536250;1
254;22997506536500;3
255;22997506536750;1
256;22997506537000;4
257;22995006537000;2
258;22995006537250;11
259;23000006535000;2
260;23000006535500;6
261;23002506536250;1
262;23032506535000;1
263;23032506535250;2
264;23032506535500;1
265;23030006536250;1
266;22980006536750;2
267;22980006537000;3
268;22997506537250;1
269;22995006537500;5
270;22992506537750;5
271;22997506538500;5
272;22997506539000;1
273;22995006539250;2
274;22997506539500;2
275;23000006537250;1
276;23000006537500;1
277;23000006538500;4
278;23000006539500;5
279;23000006539750;5
280;23002506539750;2
281;23002506540000;2
282;23000006540000;4
283;23002506540500;1
284;23015006541250;2
285;23000006540750;2
286;23005006541250;1
287;23020006540750;2
288;22997506539750;12
289;22997506540250;5
290;22995006540250;3
291;22997506540500;4
292;22977506540000;3
293;22980006541000;2
294;22980006541250;5
295;22977506541250;5
296;22997506541250;5
297;22997506541500;1
298;22987506541750;2
299;22987506542000;2
300;22990006542000;2
301;22987506542250;4
302;22980006541750;2
303;22995006541500;4
304;23037506540250;5
305;23020006541500;2
306;23017506541500;2
307;23015006541750;1
308;23017506542000;8
309;23017506542250;1
310;23000006541500;3
311;23007506542750;2
312;23005006542500;1
313;23010006543750;39
314;23007506544000;2
315;23010006544000;27
316;23012506543250;2
317;23012506544000;11
318;22992506542500;13
319;22992506542750;5
320;22990006542500;4
321;22997506543250;4
322;22995006543500;5
323;22997506543500;6
324;22985006544750;2
325;22982506544750;1
326;22977506545250;2
327;22980006545500;5
328;23415006643500;4
329;23512506650500;3
330;23512506650750;2
331;23510006651000;4
332;23512506651250;1
333;23517506651250;2
334;23415006645000;1
335;23415006645500;1
336;23417506645500;1
337;23415006645750;6
338;23420006646750;1
339;23417506646750;3
340;23442506646250;1
341;23437506646500;2
