Knr,Kommunenavn,Tid,Gruppe,Forbruk (kWh),Antall målere
4012,Bamble,2025-01-01 00:00:00+00:00,Husholdninger,19716.32,9150.0
4016,Drangedal,2025-01-01 00:00:00+00:00,Næring (unntatt industri),1582.347,325.0
4032,Fyresdal,2025-01-01 00:00:00+00:00,Husholdninger,2158.134,1366.0
4032,Fyresdal,2025-01-01 00:00:00+00:00,Industri,418.989,49.0
4032,Fyresdal,2025-01-01 00:00:00+00:00,Næring (unntatt industri),1021.744,159.0
4024,Hjartdal,2025-01-01 00:00:00+00:00,Husholdninger,4656.703,2587.0
4024,Hjartdal,2025-01-01 00:00:00+00:00,Industri,148.227,43.0
4014,Kragerø,2025-01-01 00:00:00+00:00,Husholdninger,14973.726,9035.0
4012,Bamble,2025-01-01 00:00:00+00:00,Industri,169926.58,159.0
4012,Bamble,2025-01-01 00:00:00+00:00,Næring (unntatt industri),6945.535,707.0
4016,Drangedal,2025-01-01 00:00:00+00:00,Husholdninger,6839.432,3462.0
4024,Hjartdal,2025-01-01 00:00:00+00:00,Næring (unntatt industri),991.941,202.0
4016,Drangedal,2025-01-01 00:00:00+00:00,Industri,366.972,93.0
4030,Nissedal,2025-01-01 00:00:00+00:00,Husholdninger,4916.427,2745.0
4030,Nissedal,2025-01-01 00:00:00+00:00,Industri,115.437,84.0
4030,Nissedal,2025-01-01 00:00:00+00:00,Næring (unntatt industri),1103.03,221.0
4014,Kragerø,2025-01-01 00:00:00+00:00,Industri,4011.376,244.0
4014,Kragerø,2025-01-01 00:00:00+00:00,Næring (unntatt industri),5339.66,954.0
4028,Kviteseid,2025-01-01 00:00:00+00:00,Husholdninger,5497.891,2633.0
4028,Kviteseid,2025-01-01 00:00:00+00:00,Industri,228.201,81.0
4028,Kviteseid,2025-01-01 00:00:00+00:00,Næring (unntatt industri),2082.85,256.0
4020,Midt-Telemark,2025-01-01 00:00:00+00:00,Husholdninger,14453.259,6082.0
4020,Midt-Telemark,2025-01-01 00:00:00+00:00,Industri,1555.83,260.0
4020,Midt-Telemark,2025-01-01 00:00:00+00:00,Næring (unntatt industri),4842.458,671.0
4018,Nome,2025-01-01 00:00:00+00:00,Husholdninger,8530.69,3649.0
4018,Nome,2025-01-01 00:00:00+00:00,Industri,1626.093,102.0
4018,Nome,2025-01-01 00:00:00+00:00,Næring (unntatt industri),2972.057,384.0
4005,Notodden,2025-01-01 00:00:00+00:00,Husholdninger,17577.496,7113.0
4001,Porsgrunn,2025-01-01 00:00:00+00:00,Næring (unntatt industri),16087.069,1616.0
