Region,Sysselsatte,AFP/Alderspensjon,AAP/Uføretrygd,Utdanning,Arbeidsmarkedstiltak,Arbeidsledige,Andre
Hele landet,62.0,17.9,7.3,5.9,1.1,0.9,4.8
Telemark,57.1,21.4,9.0,5.8,1.3,0.9,4.5
Vinje,64.2,20.3,5.1,4.0,1.7,0.6,4.0
Fyresdal,60.9,21.7,6.5,4.0,1.8,0.6,4.5
Tokke,60.9,21.2,7.9,4.8,1.2,0.6,3.3
Hjartdal,60.7,21.5,7.9,3.2,2.3,0.9,3.5
Siljan,60.5,23.0,8.4,4.8,0.9,0.4,2.0
Kviteseid,60.4,21.3,8.0,4.0,1.9,0.3,4.2
Seljord,59.1,22.3,7.5,4.8,2.0,0.8,3.6
Nissedal,58.7,22.0,8.7,5.0,1.9,0.7,3.1
Tinn,57.8,24.4,8.1,4.7,0.9,0.9,3.2
Porsgrunn,57.4,20.8,9.1,5.9,1.1,1.0,4.7
Drangedal,57.1,21.8,9.1,6.0,2.1,0.5,3.4
Skien,57.0,20.7,9.1,6.2,1.0,1.1,4.9
Notodden,56.7,21.0,10.1,5.5,1.5,1.0,4.3
Midt-Telemark,56.7,18.3,8.6,8.3,1.4,0.9,5.8
Bamble,56.0,23.6,9.1,5.4,1.3,0.9,3.6
Nome,55.7,22.3,10.1,5.0,1.6,1.0,4.3
Kragerø,53.3,25.4,9.4,5.3,1.4,0.7,4.5
