Kommunenummer,Kommune,Kjønn,År,Innvandringsgrunn,Enhet,Antall
4202,Grimstad,Kvinner,2021,Alle,Prosent,47.8
4202,Grimstad,Kvinner,2021,Arbeidsinnvandrere,Prosent,6.5
4202,Grimstad,Kvinner,2021,Flyktninger og deres familieinnvandrede,Prosent,15.7
4202,Grimstad,Kvinner,2021,Familieinnvandrede,Prosent,16.2
4202,Grimstad,Kvinner,2021,Utdanning (inkl. au pair) eller andre grunner,Prosent,2.6
4202,Grimstad,Kvinner,2021,Uoppgitt,Prosent,6.9
4203,Arendal,Alle,2021,Alle,Prosent,100.0
4203,Arendal,Alle,2021,Arbeidsinnvandrere,Prosent,20.6
4203,Arendal,Alle,2021,Flyktninger og deres familieinnvandrede,Prosent,37.0
4203,Arendal,Alle,2021,Familieinnvandrede,Prosent,24.7
4203,Arendal,Alle,2021,Utdanning (inkl. au pair) eller andre grunner,Prosent,2.9
4203,Arendal,Alle,2021,Uoppgitt,Prosent,14.7
4203,Arendal,Menn,2021,Alle,Prosent,49.6
4203,Arendal,Menn,2021,Arbeidsinnvandrere,Prosent,14.3
4203,Arendal,Menn,2021,Flyktninger og deres familieinnvandrede,Prosent,20.1
4203,Arendal,Menn,2021,Familieinnvandrede,Prosent,7.0
4203,Arendal,Menn,2021,Utdanning (inkl. au pair) eller andre grunner,Prosent,1.1
4203,Arendal,Menn,2021,Uoppgitt,Prosent,7.1
4203,Arendal,Kvinner,2021,Alle,Prosent,50.4
4203,Arendal,Kvinner,2021,Arbeidsinnvandrere,Prosent,6.3
4203,Arendal,Kvinner,2021,Flyktninger og deres familieinnvandrede,Prosent,17.0
4203,Arendal,Kvinner,2021,Familieinnvandrede,Prosent,17.7
4203,Arendal,Kvinner,2021,Utdanning (inkl. au pair) eller andre grunner,Prosent,1.8
4203,Arendal,Kvinner,2021,Uoppgitt,Prosent,7.6
4204,Kristiansand (f.o.m. 2020),Alle,2021,Alle,Prosent,100.0
4204,Kristiansand (f.o.m. 2020),Alle,2021,Arbeidsinnvandrere,Prosent,15.7
4204,Kristiansand (f.o.m. 2020),Alle,2021,Flyktninger og deres familieinnvandrede,Prosent,47.7
4204,Kristiansand (f.o.m. 2020),Alle,2021,Familieinnvandrede,Prosent,19.8
4204,Kristiansand (f.o.m. 2020),Alle,2021,Utdanning (inkl. au pair) eller andre grunner,Prosent,3.5
4204,Kristiansand (f.o.m. 2020),Alle,2021,Uoppgitt,Prosent,13.4
4204,Kristiansand (f.o.m. 2020),Menn,2021,Alle,Prosent,51.3
4204,Kristiansand (f.o.m. 2020),Menn,2021,Arbeidsinnvandrere,Prosent,11.1
4204,Kristiansand (f.o.m. 2020),Menn,2021,Flyktninger og deres familieinnvandrede,Prosent,25.9
4204,Kristiansand (f.o.m. 2020),Menn,2021,Familieinnvandrede,Prosent,6.5
4204,Kristiansand (f.o.m. 2020),Menn,2021,Utdanning (inkl. au pair) eller andre grunner,Prosent,1.2
4204,Kristiansand (f.o.m. 2020),Menn,2021,Uoppgitt,Prosent,6.5
4204,Kristiansand (f.o.m. 2020),Kvinner,2021,Alle,Prosent,48.7
4204,Kristiansand (f.o.m. 2020),Kvinner,2021,Arbeidsinnvandrere,Prosent,4.6
4204,Kristiansand (f.o.m. 2020),Kvinner,2021,Flyktninger og deres familieinnvandrede,Prosent,21.7
4204,Kristiansand (f.o.m. 2020),Kvinner,2021,Familieinnvandrede,Prosent,13.3
4204,Kristiansand (f.o.m. 2020),Kvinner,2021,Utdanning (inkl. au pair) eller andre grunner,Prosent,2.3
4204,Kristiansand (f.o.m. 2020),Kvinner,2021,Uoppgitt,Prosent,6.9
4205,Lindesnes (f.o.m. 2020),Alle,2021,Alle,Prosent,100.0
4205,Lindesnes (f.o.m. 2020),Alle,2021,Arbeidsinnvandrere,Prosent,22.1
4205,Lindesnes (f.o.m. 2020),Alle,2021,Flyktninger og deres familieinnvandrede,Prosent,36.3
4205,Lindesnes (f.o.m. 2020),Alle,2021,Familieinnvandrede,Prosent,26.1
4205,Lindesnes (f.o.m. 2020),Alle,2021,Utdanning (inkl. au pair) eller andre grunner,Prosent,2.2
4205,Lindesnes (f.o.m. 2020),Alle,2021,Uoppgitt,Prosent,13.3
4205,Lindesnes (f.o.m. 2020),Menn,2021,Alle,Prosent,50.1
4205,Lindesnes (f.o.m. 2020),Menn,2021,Arbeidsinnvandrere,Prosent,16.5
4205,Lindesnes (f.o.m. 2020),Menn,2021,Flyktninger og deres familieinnvandrede,Prosent,20.0
4205,Lindesnes (f.o.m. 2020),Menn,2021,Familieinnvandrede,Prosent,6.6
4205,Lindesnes (f.o.m. 2020),Menn,2021,Utdanning (inkl. au pair) eller andre grunner,Prosent,0.5
4205,Lindesnes (f.o.m. 2020),Menn,2021,Uoppgitt,Prosent,6.4
4205,Lindesnes (f.o.m. 2020),Kvinner,2021,Alle,Prosent,49.9
4205,Lindesnes (f.o.m. 2020),Kvinner,2021,Arbeidsinnvandrere,Prosent,5.6
4205,Lindesnes (f.o.m. 2020),Kvinner,2021,Flyktninger og deres familieinnvandrede,Prosent,16.3
4205,Lindesnes (f.o.m. 2020),Kvinner,2021,Familieinnvandrede,Prosent,19.4
4205,Lindesnes (f.o.m. 2020),Kvinner,2021,Utdanning (inkl. au pair) eller andre grunner,Prosent,1.7
4205,Lindesnes (f.o.m. 2020),Kvinner,2021,Uoppgitt,Prosent,6.9
4206,Farsund,Alle,2021,Alle,Prosent,100.0
4206,Farsund,Alle,2021,Arbeidsinnvandrere,Prosent,18.8
4206,Farsund,Alle,2021,Flyktninger og deres familieinnvandrede,Prosent,34.5
4206,Farsund,Alle,2021,Familieinnvandrede,Prosent,26.4
4206,Farsund,Alle,2021,Utdanning (inkl. au pair) eller andre grunner,Prosent,2.0
4206,Farsund,Alle,2021,Uoppgitt,Prosent,18.3
4206,Farsund,Menn,2021,Alle,Prosent,48.2
4206,Farsund,Menn,2021,Arbeidsinnvandrere,Prosent,13.4
4206,Farsund,Menn,2021,Flyktninger og deres familieinnvandrede,Prosent,18.9
4206,Farsund,Menn,2021,Familieinnvandrede,Prosent,7.3
4206,Farsund,Menn,2021,Utdanning (inkl. au pair) eller andre grunner,Prosent,0.8
4206,Farsund,Menn,2021,Uoppgitt,Prosent,7.8
