13135: Utvalgte nøkkeltall for kultur, etter region, statistikkvariabel og år;;;;;;
;;;;;;
;Barn 6-15 år i kommunens kulturskole  (prosent);;;;;
;2015;2016;2017;2018;2019;2020
3801 Horten;.;.;.;.;.;5,1
3802 Holmestrand;.;.;.;.;.;10,2
3803 Tønsberg;.;.;.;.;.;7,8
3804 Sandefjord;.;.;.;.;.;5,4
3805 Larvik;.;.;.;.;.;20,6
3806 Porsgrunn;.;.;.;.;.;14,2
3807 Skien;.;.;.;.;.;11,2
3808 Notodden;.;.;.;.;.;10,2
3811 Færder;.;.;.;.;.;8,9
3812 Siljan;.;.;.;.;.;9,8
3813 Bamble;.;.;.;.;.;13,3
3814 Kragerø;.;.;.;.;.;13,9
3815 Drangedal;.;.;.;.;.;16,7
3816 Nome;.;.;.;.;.;23,1
3817 Midt-Telemark;.;.;.;.;.;25,9
3818 Tinn;.;.;.;.;.;18,8
3819 Hjartdal;.;.;.;.;.;39,3
3820 Seljord;.;.;.;.;.;26,2
3821 Kviteseid;.;.;.;.;.;27,3
3822 Nissedal;.;.;.;.;.;26,2
3823 Fyresdal;.;.;.;.;.;35,4
3824 Tokke;.;.;.;.;.;52,8
3825 Vinje;.;.;.;.;.;32,2
0701 Horten (-2019);6,5;6,5;5,4;5,3;5,6;.
0702 Holmestrand (-2017);0,0;0,0;0,0;.;.;.
0704 Tønsberg (-2019);7,8;7,2;6,5;7,2;7,5;.
0706 Sandefjord (-2016);5,1;4,9;.;.;.;.
0709 Larvik (-2017);11,9;12,9;12,4;.;.;.
0710 Sandefjord (2017-2019);.;.;0,0;5,3;5,4;.
0711 Svelvik (-2019);6,9;8,3;8,1;8,0;7,9;.
0712 Larvik (2018-2019);.;.;.;11,9;13,7;.
0713 Sande (Vestfold) (-2019);10,2;9,4;8,7;5,4;0,0;.
0714 Hof (-2017);96,7;102,0;105,8;.;.;.
0715 Holmestrand (2018-2019);.;.;.;21,0;16,6;.
0716 Re (-2019);0,0;0,0;0,0;5,0;11,7;.
0719 Andebu (-2016);5,6;5,6;.;.;.;.
0720 Stokke (-2016);7,8;8,2;.;.;.;.
0722 Nøtterøy (-2017);12,1;11,2;9,4;.;.;.
0723 Tjøme (-2017);0,0;0,0;0,0;.;.;.
0728 Lardal (-2017);12,9;16,3;12,4;.;.;.
0729 Færder (2018-2019);.;.;.;7,5;8,4;.
0805 Porsgrunn (-2019);14,8;14,1;14,6;14,2;14,3;.
0806 Skien (-2019);12,3;11,7;11,1;11,1;11,4;.
0807 Notodden (-2019);13,3;12,3;12,1;10,6;9,6;.
0811 Siljan (-2019);10,1;10,9;12,3;10,3;9,5;.
0814 Bamble (-2019);15,0;14,5;14,0;14,7;14,9;.
0815 Kragerø (-2019);10,0;12,1;12,1;12,6;12,7;.
0817 Drangedal (-2019);16,0;14,3;13,7;13,8;16,6;.
0819 Nome (-2019);17,2;17,4;18,8;18,9;21,1;.
0821 Bø (Telemark) (-2019);25,9;27,3;28,8;28,4;28,9;.
0822 Sauherad (-2019);22,7;22,2;25,2;23,8;23,2;.
0826 Tinn (-2019);20,6;24,8;25,0;21,0;19,2;.
0827 Hjartdal (-2019);31,6;29,5;33,5;33,3;30,0;.
0828 Seljord (-2019);25,8;27,7;27,8;25,5;26,9;.
0829 Kviteseid (-2019);32,9;32,6;29,3;26,0;27,2;.
0830 Nissedal (-2019);32,3;31,0;31,6;32,8;29,4;.
0831 Fyresdal (-2019);29,7;25,9;24,5;28,5;31,5;.
0833 Tokke (-2019);43,5;42,7;45,6;54,8;57,7;.
0834 Vinje (-2019);30,9;30,2;33,3;34,3;36,5;.
;;;;;;
Utvalgte nøkkeltall for kultur;;;;;;
<a href='https://www.ssb.no/offentlig-sektor/kommunekatalog/endringer-i-de-regionale-inndelingene' target='footnote'><b>Se liste over endringer i de regionale inndelingene.</b></a>;;;;;;
. = Ikke mulig å oppgi tall. Tall finnes ikke på dette tidspunktet fordi kategorien ikke var i bruk da tallene ble samlet inn.;;;;;;
;;;;;;
Sist endret:;;;;;;
Barn 6-15 år i kommunens kulturskole  (prosent):;;;;;;
20210615 08:00;;;;;;
;;;;;;
Kilde:;;;;;;
Statistisk sentralbyrå;;;;;;
;;;;;;
Kontakt:;;;;;;
Barn 6-15 år i kommunens kulturskole  (prosent):;;;;;;
Line Gjermshusengen, Statistisk sentralbyrå;;;;;;
 +47 408 11 346;;;;;;
lgj@ssb.no;;;;;;
;;;;;;
;;;;;;
;;;;;;
Copyright;;;;;;
;;;;;;
Måleenhet:;;;;;;
Barn 6-15 år i kommunens kulturskole  (prosent):;;;;;;
prosent;;;;;;
Målemetode:;;;;;;
Barn 6-15 år i kommunens kulturskole  (prosent):;;;;;;
Forløp (periodesum);;;;;;
;;;;;;
Referansetid:;;;;;;
Barn 6-15 år i kommunens kulturskole  (prosent);;;;;;
31.12;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Database:;;;;;;
Ekstern PRODUKSJON;;;;;;
;;;;;;
Intern referansekode:;;;;;;
KOSmusikkandelba0000;;;;;;
