"KOSTRA","Ar","Kommune","Fylke","Innbyggere pr. 1.1","Bes&#248;k","Aktive personlige l&#229;nere","Aktive l&#229;nere, institusjoner","Nye lokaler","Areal i m2","Regnskap, kj&#248;p av medier"
"0","2020","Tønsberg og Færder","Vestfold og Telemark","83 023","232 516","12 311","677","Nei","6 600","2 374 662"
"7","2020","Bamble","Vestfold og Telemark","14 061","32 386","2 154","205","Nei","1 150","470 124"
"7","2020","Notodden","Vestfold og Telemark","13 049","82 024","2 219","257","Nei","1 170","390 135"
"7","2020","Kragerø","Vestfold og Telemark","10 380","31 305","1 570","108","Nei","823","277 124"
"5","2020","Nome","Vestfold og Telemark","6 515","19 947","584","138","Nei","313","221 736"
"7","2020","Midt-Telemark","Vestfold og Telemark","10 444","12 580","1 447","163","Nei","537","330 644"
"6","2020","Tinn","Vestfold og Telemark","5 691","6 704","1 036","255","Nei","717","235 000"
"4","2020","Drangedal","Vestfold og Telemark","4 060","104 761","559","","Nei","170","179 000"
"6","2020","Vinje","Vestfold og Telemark","3 676","5 340","762","197","Nei","600","130 026"
"5","2020","Seljord","Vestfold og Telemark","2 888","10 646","736","20","Nei","500","157 000"
"4","2020","Kviteseid","Vestfold og Telemark","2 403","4 180","208","8","Nei","","180 000"
"11","2020","Sandefjord","Vestfold og Telemark","63 764","168 351","9 419","748","Nei","3 250","1 821 110"
"4","2020","Siljan","Vestfold og Telemark","2 340","1 217","153","68","Nei","135","126 663"
"6","2020","Tokke","Vestfold og Telemark","2 201","9 824","585","11","Nei","300","172 996"
"14","2020","Hjartdal","Vestfold og Telemark","1 573","918","155","12","Nei","130","81 818"
"14","2020","Nissedal","Vestfold og Telemark","1 448","1 740","203","12","Nei","200","126 005"
"14","2020","Fyresdal","Vestfold og Telemark","1 287","2 831","354","15","Nei","326","136 883"
"11","2020","Larvik","Vestfold og Telemark","47 204","40 853","3 585","148","Ja","2 761","942 070"
"9","2020","Horten","Vestfold og Telemark","27 351","112 316","4 112","390","Nei","1 420","612 232"
"9","2020","Holmestrand","Vestfold og Telemark","24 699","69 592","3 911","123","Nei","1 563","842 735"
"11","2020","Skien","Vestfold og Telemark","54 942","118 937","5 654","430","Nei","1 800","779 365"
"10","2020","Porsgrunn","Vestfold og Telemark","36 397","82 207","4 998","352","Nei","2 656","780 428"
"7","2019","Svelvik","Vestfold","6 685","5 000","590","15","Nei","","35 000"
"0","2019","Tønsberg og Færder","Vestfold","72 676","330 000","14 395","702","Nei","5 350","1 883 111"
"8","2019","Bamble","Telemark","14 089","46 235","2 663","193","Nei","1 150","473 655"
"11","2019","Notodden","Telemark","12 682","152 740","2 613","254","Nei","1 170","443 076"
"11","2019","Kragerø","Telemark","10 406","68 490","1 863","164","Nei","823","277 135"
"11","2019","Nome","Telemark","6 538","28 819","1 219","141","Nei","616","202 022"
"11","2019","Midt-Telemark","Telemark","6 630","20 000","1 610","153","Nei","537","266 000"
"12","2019","Tinn","Telemark","5 780","11 497","1 160","252","Nei","717","307 000"
"2","2019","Drangedal","Telemark","4 080","15 101","603","","Nei","170","179 410"
"3","2019","Vinje","Telemark","3 723","7 621","816","229","Nei","600","148 938"
"2","2019","Seljord","Telemark","2 934","17 481","864","23","Nei","600","175 615"
"2","2019","Kviteseid","Telemark","2 403","7 661","223","6","Nei","278","156 000"
"13","2019","Sandefjord","Vestfold","63 271","274 417","11 013","844","Nei","3 160","1 983 374"
"1","2019","Siljan","Telemark","2 329","1 323","197","59","Nei","135","130 863"
"3","2019","Tokke","Telemark","2 228","19 977","675","15","Nei","300","184 873"
"5","2019","Hjartdal","Telemark","1 572","854","167","14","Nei","130","89 608"
"5","2019","Nissedal","Telemark","1 476","1 824","146","","Nei","200","135 000"
"6","2019","Fyresdal","Telemark","1 286","5 679","429","16","Nei","326","161 049"
"2","2019","Sauherad","Telemark","4 293","5 250","755","68","Nei","270","116 000"
"10","2019","Re","Vestfold","9 730","30 267","1 468","224","Ja","1 250","252 991"
"13","2019","Larvik","Vestfold","47 107","147 030","7 939","563","Nei","2 611","825 592"
"13","2019","Horten","Vestfold","27 334","197 027","5 185","384","Nei","1 420","756 327"
"8","2019","Holmestrand","Vestfold","14 371","76 863","2 588","298","Nei","1 125","593 799"
"7","2019","Sande (Vest)","Vestfold","9 904","44 095","2 249","140","Nei","438","375 811"
"13","2019","Skien","Telemark","54 645","172 682","6 150","430","Nei","1 800","865 000"
"13","2019","Porsgrunn","Telemark","36 224","134 672","5 630","384","Nei","2 650","771 563"
"7","2018","Svelvik","Vestfold","6 672","5 000","603","70","Nei","150","35 000"
"0","2018","Tønsberg og Færder","Vestfold","72 094","296 989","14 147","705","Nei","5 350","1 817 037"
"8","2018","Bamble","Telemark","14 183","66 828","2 418","148","Nei","1 150","378 474"
"11","2018","Notodden","Telemark","12 664","148 279","2 654","204","Nei","1 170","410 000"
"11","2018","Kragerø","Telemark","10 506","57 735","2 692","61","Nei","823","274 632"
"11","2018","Nome","Telemark","6 609","15 545","862","81","Ja","313","214 900"
"11","2018","Midt-Telemark","Telemark","6 460","21 200","1 573","112","Nei","537","277 300"
"12","2018","Tinn","Telemark","5 856","16 015","1 258","184","Nei","717","303 000"
"2","2018","Drangedal","Telemark","4 105","19 055","570","94","Nei","170","192 402"
"3","2018","Vinje","Telemark","3 709","7 043","856","155","Nei","624","137 521"
